video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,tokens_kept,tokens_seen,token_keep_rate,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
fpsstream_000509,causality_detection,What causes the rally to end?,Both players touch the shuttle in a single shot,D,12.0,1.0,query,272.217,273,600,False,100.0,D,D,D,"['The shuttle hit the ground', 'The shuttle hit the net and fell down', 'The shuttle fell out of the court', 'Both players touch the shuttle in a single shot', 'None of the above']",2,0.4244,True,fpsbench_000511,middle,0.4475,262.217,276.231,272.217,25.0,movie101_76.mp4,263,272,10,-4.014,0,0,True,28,64,2,0.9286,1.8571,13296,53508,0.2485,13328,68,15000,0,64,1
fpsstream_000510,synchronization_assessment,Do all of them raise their hand synchronously?,"No, but the people squatting do it synchronously",C,4.0,1.0,query,457.296,458,600,False,0.0,D,D,C,"['Yes', 'No, the person not wearing the red and white shirt does it first', 'No, but the people squatting do it synchronously', 'No, but the people standing raise their hands synchronously', 'None of the above']",2,0.6719,True,fpsbench_000512,late,0.7598,451.296,457.302,457.296,25.0,subPlot_new_all_196.mp4,452,457,6,-0.006,0,0,True,28,64,2,1.0,1.6071,33837,89768,0.3769,33908,173,15000,1944420352,64,1
fpsstream_000511,synchronization_assessment,Which of the following is false about the players in the blue jersey?,"At one point in the video, both players hit the shuttle simultaneosly",B,12.0,1.0,query,135.732,136,600,False,0.0,A,A,B,"['At one point in the video, one player raises their racket but the other person hits the shuttle', 'At one point in the video, both players hit the shuttle simultaneosly', 'At one point in the video, both players hit the shuttle one after the other in the same shot', 'At one point in the video, one player takes the shot even if the rally has ended', 'None of the above']",2,0.343,True,fpsbench_000513,early,0.2112,123.732,137.746,135.732,25.0,subPlot_new_all_61.mp4,124,135,12,-2.014,0,0,True,28,50,3,1.0,3.0,9653,26656,0.3621,9800,50,15000,0,64,1
fpsstream_000512,synchronization_assessment,Does the soloist place their bow on their violin at the same time as the orchestra?,"No, the soloist does it slightly before them.",B,7.0,1.0,query,315.018,316,600,False,0.0,C,C,B,"['Yes, they do it at the same time.', 'No, the soloist does it slightly before them.', 'No, the soloist does it slightly after them.', 'They never start playing near each other.', 'None of the above']",2,0.6695,True,fpsbench_000514,middle,0.5221,308.018,318.018,315.018,25.0,subPlot_new_all_22.mp4,309,315,7,-3.0,0,0,True,28,64,3,1.0,2.1429,20832,61936,0.3363,20972,107,15000,1202618368,64,1
fpsstream_000513,synchronization_assessment,Which of these is true about the Drumss hold their sticks together after finishing Drums?,The Drumss in th first and second rows standing nearer to the camera did it in sync,A,4.0,1.0,query,428.55,429,600,False,100.0,A,A,A,"['The Drumss in th first and second rows standing nearer to the camera did it in sync', 'The person nearest to the camera did it first', 'At least three people in the group were not in sync', 'The Drumss in th first and second rows standing nearer to the camera did not do it in sync', 'None of the above']",2,0.6325,True,fpsbench_000515,late,0.7138,417.55,432.55,428.55,30.0,order_43.mp4,418,428,11,-4.0,0,0,True,28,64,4,1.0,3.1071,18739,84084,0.2229,18816,96,15000,1078984704,64,1
fpsstream_000514,synchronization_assessment,Did the singers bow synchronously?,"No, but the two people on the left of the person wearing grey bowed together",D,6.0,1.0,query,87.181,88,600,False,0.0,A,A,D,"['Yes', 'No, the person wearing the grey shirt bowed first', 'No, the people wearing the black shirt bowed first', 'No, but the two people on the left of the person wearing grey bowed together', 'None of the above']",2,0.309,True,fpsbench_000516,early,0.1339,78.181,94.181,87.181,25.0,subPlot_new_all_182.mp4,79,87,9,-7.0,0,0,True,28,45,4,1.0,4.0,8705,17248,0.5047,8820,45,15000,0,64,1
fpsstream_000515,synchronization_assessment,Were the two swimmers in the middle frame synchronous?,No. Initially they were synchronous but the last leg movement was not in sync,B,4.0,1.0,query,362.91,363,600,False,100.0,B,B,B,"['Yes', 'No. Initially they were synchronous but the last leg movement was not in sync', 'No. The initial hand movement was not in sync', 'No. The person wearing red swimwear was always lagging', 'None of the above']",2,0.1982,True,fpsbench_000517,middle,0.5975,351.91,362.91,362.91,30.0,surveil_108.mp4,352,362,11,0.0,0,0,True,28,9,4,1.0,4.0,1641,71148,0.0231,1764,9,15000,0,64,1
fpsstream_000516,synchronization_assessment,Did the all the singers who showed their palm lower their hand synchronously?,"No, the person adjacent to the person wearing grey shirt did it first",B,6.0,1.0,query,509.327,510,600,False,0.0,A,A,B,"['Yes', 'No, the person adjacent to the person wearing grey shirt did it first', 'No, the person on the extreme right did it first', 'No, the person weraring the grey shirt did it first', 'None of the above']",2,0.6519,True,fpsbench_000518,late,0.8516,497.327,513.327,509.327,30.0,order_54.mp4,498,509,12,-4.0,0,0,True,28,64,5,1.0,4.2143,30477,99960,0.3049,30576,156,15000,1753350144,64,1
fpsstream_000517,synchronization_assessment,Were the dancers synchronous in their last foot tap?,At least four people were in sync with each other,A,4.0,1.0,query,168.088,169,600,False,100.0,A,A,A,"['At least four people were in sync with each other', 'Only the two people in the middle we in sync with each other', 'Only the three dancers on the left we in sync with each other', 'Only the three dancers on the right we in sync with each other', 'None of the above']",2,0.1986,True,fpsbench_000519,early,0.2738,162.088,170.088,168.088,30.0,surveil_115.mp4,163,168,6,-2.0,0,0,True,28,6,2,1.0,2.0,1044,33124,0.0315,1176,6,15000,0,64,1
fpsstream_000518,synchronization_assessment,Are the swimmers synchronous when lifting up their right leg?,Yes,A,4.0,1.0,query,244.888,245,600,False,100.0,A,A,A,"['Yes', 'No, the group on the left did it before the other', 'No, the group on the right did it before the other', 'No, the two swimmers closer to the camera lagged', 'None of the above']",2,0.4044,True,fpsbench_000520,middle,0.4086,241.888,249.888,244.888,24.0,subPlot_new_all_48.mp4,242,244,3,-5.0,0,0,True,28,64,2,0.9286,1.5,13325,48020,0.2775,13328,68,15000,0,64,1
fpsstream_000519,blink_and_miss,Which of these is not representative of what the singers did after bowing?,At least two people showed a victory sign,D,4.0,1.0,query,471.456,472,600,False,0.0,B,B,D,"['At least one person showed their palm', 'At least one person showed a victory sign', 'At least two people showed their palm', 'At least two people showed a victory sign', 'None of the above']",2,0.6586,True,fpsbench_000521,late,0.7867,459.456,475.456,471.456,25.0,order_171.mp4,460,471,12,-4.0,0,0,True,28,64,5,0.7857,1.8214,33493,92512,0.362,33516,171,15000,1921941504,64,1
fpsstream_000520,synchronization_assessment,Were the dancers in sync after they raised their right hand?,Yes,A,4.0,1.0,query,158.066,159,600,False,100.0,A,A,A,"['Yes', 'No, the person wearing black was lagging', 'No, the person wearing red was lagging', 'No, they were performing different moves altogether', 'None of the above']",2,0.3239,True,fpsbench_000522,early,0.2497,147.066,158.066,158.066,30.0,order_281.mp4,148,158,11,0.0,0,0,True,28,52,4,1.0,4.0,10092,31164,0.3238,10192,52,15000,0,64,1
fpsstream_000521,blink_and_miss,Which of the following about the person in the middle is true?,He touched his face once with his right hand and twice with his left,B,4.0,1.0,query,303.162,304,600,False,0.0,C,C,B,"['He touched his face exactly twice', 'He touched his face once with his right hand and twice with his left', 'He touched his face once with his left hand and twice with his right', 'He touched his face only once', 'None of the above']",2,0.3737,True,fpsbench_000523,middle,0.4934,288.162,304.162,303.162,25.0,subPlot_new_all_80.mp4,289,303,15,-1.0,0,0,True,28,64,5,1.0,4.5714,13045,59584,0.2189,13132,67,15000,0,64,1
fpsstream_000522,synchronization_assessment,Which of the following is true about the swimmers raising from the water and pointing with their right hand?,The person on the extreme left did it first,D,4.0,1.0,query,477.77,478,600,False,0.0,A,A,D,"['They did it synchronously', 'The person nearest to the camera did it first', 'The person wearing the magenta swimwear did it before the rest', 'The person on the extreme left did it first', 'None of the above']",2,0.7253,True,fpsbench_000524,late,0.7986,472.77,480.77,477.77,29.0,count_20.mp4,473,477,5,-3.0,0,0,True,28,64,2,0.6071,1.0,22483,93688,0.24,22540,115,15000,1292533760,64,1
fpsstream_000523,synchronization_assessment,Does the second guitarist from the right start turning at the same time as when the background becomes black?,"No, he starts slightly earlier.",B,4.0,1.0,query,165.527,166,600,False,0.0,D,D,B,"['Yes, they do so at the same time.', 'No, he starts slightly earlier.', 'No, he starts right after.', 'He starts significantly after.', 'None of the above']",2,0.3428,True,fpsbench_000525,early,0.2704,159.527,169.537,165.527,24.0,order_13.mp4,160,165,6,-4.01,0,0,True,28,58,2,1.0,2.0,11305,32536,0.3475,11368,58,15000,0,64,1
fpsstream_000524,synchronization_assessment,Does the man in the white shirt on the left or the woman in the red shirt start dancing first?,They begin at the same time.,C,4.0,1.0,query,355.923,356,600,False,0.0,D,D,C,"['The woman starts dancing slightly earlier.', 'The man starts dancing slightly earlier.', 'They begin at the same time.', 'Neither dances in the clip.', 'None of the above']",2,0.5867,True,fpsbench_000526,middle,0.5948,350.923,360.923,355.923,25.0,subPlot_new_all_31.mp4,351,355,5,-5.0,0,0,True,28,64,2,0.75,0.8571,24414,69776,0.3499,24500,125,15000,1404928000,64,1
fpsstream_000525,synchronization_assessment,"After the girl lands, which skater begins to raise their arms first?",The man raises them slightly earlier.,B,6.0,1.0,query,451.39,452,600,False,0.0,C,C,B,"['They raise their arms at the same time.', 'The man raises them slightly earlier.', 'The woman raises them slightly earlier.', 'Neither raise their arms.', 'None of the above']",2,0.2672,True,fpsbench_000527,late,0.7549,445.39,455.39,451.39,30.0,surveil_100.mp4,446,451,6,-4.0,0,0,True,28,26,4,1.0,4.0,4945,88592,0.0558,5096,26,15000,0,64,1
fpsstream_000526,synchronization_assessment,"After the inital dance, do the skaters start skating at the same time?","Yes, they begin at exactly the same time.",A,4.0,1.0,query,168.578,169,600,False,100.0,A,A,A,"['Yes, they begin at exactly the same time.', 'No, the dancer on the left starts slightly early.', 'No, the dancer on the right starts slightly late.', ""They don't start skating."", 'None of the above']",2,0.3131,True,fpsbench_000528,early,0.2722,160.578,170.578,168.578,25.0,subPlot_new_all_56.mp4,161,168,8,-2.0,0,0,True,28,48,2,1.0,2.0,9353,33124,0.2824,9408,48,15000,0,64,1
fpsstream_000527,synchronization_assessment,Do the herd of wildebeest in the background start fleeing the scene in sync?,Yes,A,4.0,1.0,query,325.598,326,600,False,100.0,A,A,A,"['Yes', 'No the left part of the herd start first', 'No, the right part of the herd start first', 'No, the wilderbeast on the right starts first', 'None of the above']",2,0.6153,True,fpsbench_000529,middle,0.5376,315.598,328.598,325.598,25.0,subPlot_new_all_101.mp4,316,325,10,-3.0,0,0,True,28,64,3,0.9286,2.1071,20668,63896,0.3235,20776,106,15000,1191378944,64,1
fpsstream_000528,synchronization_assessment,Are the soldiers behind the flag-carriers marching in sync?,"Yes, they are in sync.",A,7.0,1.0,query,467.913,468,600,False,100.0,A,A,A,"['Yes, they are in sync.', 'No, some of the soldiers are clearly off beat.', 'No, the left row is slightly ahead.', 'No, the soldier in the front is behind.', 'None of the above']",2,0.5742,True,fpsbench_000530,late,0.7846,462.913,472.913,467.913,25.0,subPlot_new_all_142.mp4,463,467,5,-5.0,0,0,True,28,64,2,0.9643,1.4286,32088,91728,0.3498,32144,164,15000,1843265536,64,1
fpsstream_000529,synchronization_assessment,Which tractor's wheels start turning first?,The front tractor's wheels start turning first.,B,6.0,1.0,query,151.996,152,600,False,100.0,B,B,B,"['They start turning at the same time.', ""The front tractor's wheels start turning first."", ""The rear tractor's wheels start turning first."", ""Neither's wheels turn in the video."", 'None of the above']",2,0.2868,True,fpsbench_000531,early,0.2458,144.996,155.055,151.996,25.0,subPlot_new_all_175.mp4,145,151,7,-3.059,0,0,True,28,37,2,1.0,2.0,7241,29792,0.2431,7252,37,15000,0,64,1
fpsstream_000530,synchronization_assessment,Which statement is true of the clip?,"The goalkeeper drops their pads early, right before they shoot.",C,5.0,1.0,query,359.522,360,600,False,0.0,A,A,C,"['The goalkeeper lowers their pads right after the player shoots.', 'The goalkeeper lowers their shin pads at the same time as the player shoots.', 'The goalkeeper drops their pads early, right before they shoot.', 'The goalkeeper dives very late and lets in an easy goal.', 'None of the above']",2,0.6128,True,fpsbench_000532,middle,0.5975,352.522,362.538,359.522,30.0,order_249.mp4,353,359,7,-3.016,0,0,True,28,64,5,0.8929,2.1786,25245,70560,0.3578,25284,129,15000,1449885696,64,1
fpsstream_000531,synchronization_assessment,Are the cheerleaders in the row closest to the camera dancing in sync?,"Yes, they are in sync.",B,4.0,1.0,query,517.85,518,600,False,100.0,B,B,B,"['No, the girl on the left is consistently ahead.', 'Yes, they are in sync.', 'No, the girl on the far right is consistently ahead.', 'No, the girls in the middle are consistently behind.', 'None of the above']",2,0.5643,True,fpsbench_000533,late,0.8658,510.85,520.85,517.85,30.0,order_100.mp4,511,517,7,-3.0,0,0,True,28,64,3,1.0,2.8214,22317,101528,0.2198,22344,114,15000,1281294336,64,1
fpsstream_000532,synchronization_assessment,Do the two skaters start their turn at the same time?,"Yes, they do.",A,4.0,1.0,query,122.461,123,600,False,0.0,C,C,A,"['Yes, they do.', 'No, the girl is slightly ahead.', 'No, the man is very slightly ahead.', ""They don't turn in the video."", 'None of the above']",2,0.3471,True,fpsbench_000534,early,0.2008,118.461,128.461,122.461,25.0,subPlot_new_all_90.mp4,119,122,4,-6.0,0,0,True,28,56,3,1.0,3.0,10822,24108,0.4489,10976,56,15000,0,64,1
fpsstream_000533,synchronization_assessment,"After the dance starts, are the girls closest to the camera dancing in sync?","Yes, the are in sync.",A,4.0,1.0,query,334.043,335,600,False,100.0,A,A,A,"['Yes, the are in sync.', 'No, the girl on the left is slightly behind.', 'No, the girl in the middle is slightly ahead.', 'No, the girl on the right is slightly ahead.', 'None of the above']",2,0.7181,True,fpsbench_000535,middle,0.5492,324.043,334.053,334.043,30.0,order_228.mp4,325,334,10,-0.01,0,0,True,28,64,4,1.0,3.25,20266,65660,0.3087,20384,104,15000,1168900096,64,1
fpsstream_000534,synchronization_assessment,Do the girls in the row closest to the camera all start the dance at the same time?,"No, the girl in the middle starts early.",C,4.0,1.0,query,464.194,465,600,False,0.0,A,A,C,"['Yes, they all start in sync.', 'No, the girl on the left starts early.', 'No, the girl in the middle starts early.', 'No, the girl on the right is slightly ahead.', 'None of the above']",2,0.6074,True,fpsbench_000536,late,0.78,460.194,470.204,464.194,30.0,order_95.mp4,461,464,4,-6.01,0,0,True,28,64,3,1.0,1.8214,23751,91140,0.2606,23912,122,15000,1371209728,64,1
fpsstream_000535,synchronization_assessment,"When the two violinists are shown playing together, are their bows in sync?","No, the girl in blue is bowing faster at the beginning.",A,7.0,1.0,query,154.486,155,600,False,0.0,C,C,A,"['No, the girl in blue is bowing faster at the beginning.', 'No, the girl in pink is bowing faster at the beginning.', 'Yes, they are in sync.', 'No, the girl in pink is doing totally different motions.', 'None of the above']",2,0.3205,True,fpsbench_000537,early,0.2491,147.486,155.486,154.486,30.0,order_87.mp4,148,154,7,-1.0,0,0,True,28,49,4,1.0,4.0,9429,30380,0.3104,9604,49,15000,0,64,1
fpsstream_000536,synchronization_assessment,Which violinist stopped playing first?,The one in the middle.,C,6.0,1.0,query,255.787,256,600,False,0.0,B,B,C,"['They all stopped at the same time.', 'The one on the left.', 'The one in the middle.', 'The one on the right.2', 'None of the above']",2,1.3537,True,fpsbench_000538,middle,0.4234,249.787,259.797,255.787,25.0,order_71.mp4,250,255,6,-4.01,0,0,True,28,64,2,1.0,2.0,15047,50176,0.2999,15092,77,15000,865435648,64,1
fpsstream_000537,synchronization_assessment,Does the first chair or second chair violinist begin bowing first?,The second chair starts before the first.,B,6.0,1.0,query,426.064,427,600,False,0.0,A,A,B,"['The first chair starts before the second.', 'The second chair starts before the first.', 'They start at the same time.', 'Neither begin bowing.', 'None of the above']",2,0.6255,True,fpsbench_000539,late,0.7103,419.064,429.075,426.064,25.0,subPlot_new_all_169.mp4,420,426,7,-3.011,0,0,True,28,64,2,0.9643,1.6071,20900,83692,0.2497,20972,107,15000,1202618368,64,1
fpsstream_000538,synchronization_assessment,Which shooter hits the POV character first?,The one on the right.,B,6.0,1.0,query,169.031,170,600,False,100.0,B,B,B,"['The one on the left.', 'The one on the right.', 'They hit at the same time.', 'Neither hit the POV character.', 'None of the above']",2,0.2889,True,fpsbench_000540,early,0.278,164.031,174.041,169.031,24.0,subPlot_new_all_157.mp4,165,169,5,-5.01,0,0,True,28,39,3,1.0,3.0,7521,33320,0.2257,7644,39,15000,0,64,1
fpsstream_000539,synchronization_assessment,Did the dancers raise their left arm synchronously?,"Yes, both times",A,4.0,1.0,query,256.958,257,600,False,0.0,B,B,A,"['Yes, both times', 'They did not do it in sync the first time', 'They did not do it in sync the second time', 'They were not in sync both times', 'None of the above']",2,0.7112,True,fpsbench_000541,middle,0.4246,250.958,259.958,256.958,25.0,subPlot_new_all_36.mp4,251,256,6,-3.0,0,0,True,28,64,3,1.0,2.4643,17694,50372,0.3513,17836,91,15000,1022787584,64,1
fpsstream_000540,synchronization_assessment,Do the two dancers on the right thrust their hips forward in sync?,"Yes, they are in sync.",A,5.0,1.0,query,525.995,526,600,False,100.0,A,A,A,"['Yes, they are in sync.', 'No, the woman in red is ahead.', 'No, the woman in white is ahead.', 'They are doing different dances.', 'None of the above']",2,0.6641,True,fpsbench_000542,late,0.8813,519.995,529.995,525.995,25.0,subPlot_new_all_121.mp4,520,525,6,-4.0,0,0,True,28,64,3,1.0,1.7857,35108,103096,0.3405,35280,180,15000,2023096320,64,1
fpsstream_000541,synchronization_assessment,Which of the following is true about two people swinging their arms?,They are synchronous throughout,A,5.0,1.0,query,117.577,118,600,False,100.0,A,A,A,"['They are synchronous throughout', 'The person on the left is slightly faster', 'The person on the left is lagging', 'Their leg movement is not synchronous with the rest of the group', 'None of the above']",2,0.2844,True,fpsbench_000543,early,0.1878,111.577,117.577,117.577,30.0,order_103.mp4,112,117,6,0.0,0,0,True,28,23,3,1.0,3.0,4468,23128,0.1932,4508,23,15000,0,64,1
fpsstream_000542,synchronization_assessment,"When all the dancers are visible, which one is the furthest behind in the dance?",The man with red pants on the right.,D,4.0,1.0,query,265.49,266,600,False,100.0,D,D,D,"['The man wearing the white shirt on the left.', 'The man with a light blue shirt.', 'The man in the flowered shirt in the. middle.', 'The man with red pants on the right.', 'None of the above']",2,0.4104,True,fpsbench_000544,middle,0.4301,252.49,265.49,265.49,25.0,subPlot_new_all_4.mp4,253,265,13,0.0,0,0,True,28,64,4,0.9286,3.2857,13843,52136,0.2655,13916,71,15000,0,64,1
fpsstream_000543,synchronization_assessment,"When the dancers spin around, are they in sync both times?","Yes, they are in sync both times.",A,4.0,1.0,query,505.95,506,600,False,0.0,B,B,A,"['Yes, they are in sync both times.', 'No, they are in sync only the first time.', 'No, they are in sync only the second time.', 'They are not quite in sync either time.', 'None of the above']",2,0.5739,True,fpsbench_000545,late,0.844,497.95,507.96,505.95,30.0,count_201.mp4,498,505,8,-2.01,0,0,True,28,64,4,1.0,2.7143,32978,99176,0.3325,33124,169,15000,1899462656,64,1
fpsstream_000544,synchronization_assessment,Are the person in the green hoodie and the person wearing a red shirt jumping synchronously?,Yes,A,5.0,1.0,query,79.938,80,600,False,0.0,B,B,A,"['Yes', 'No', 'The person in green hoodie is lagging', 'Only the person in red shirt is jumping', 'None of the above']",2,0.2519,True,fpsbench_000546,early,0.1245,73.938,79.938,79.938,30.0,count_40.mp4,74,79,6,0.0,0,0,True,28,24,3,1.0,3.0,4571,15680,0.2915,4704,24,15000,0,64,1
fpsstream_000545,synchronization_assessment,Are the three performers synchronous in pulling their dress?,The performer on the left does it first,D,6.0,1.0,query,302.664,303,600,False,0.0,A,A,D,"['Yes', 'The performer in the middle does it first', 'The performer on the right does it first', 'The performer on the left does it first', 'None of the above']",2,0.6157,True,fpsbench_000547,middle,0.5011,293.664,307.664,302.664,25.0,subPlot_new_all_192.mp4,294,302,9,-5.0,0,0,True,28,64,3,1.0,2.1429,17468,59388,0.2941,17640,90,15000,1011548160,64,1
