id,stream_id,question_text,answer,task_category,min_fps,source_url,clip_start_sec,clip_end_sec,haystack_file,haystack_subset,haystack_window_start_sec,haystack_window_duration_sec,insertion_offset_sec,position_bin,stream_needle_start_sec,stream_needle_end_sec,stream_cert_start_sec,stream_cert_end_sec,stream_query_time_sec
fpsbench_000010,fpsstream_000010,What is the order of the actions by the player holding the ball in the video?,B,action_order,5,https://www.youtube.com/watch?v=JibIkpFElgc,0.0,6.0,order_113.mp4,order,41.011,594.0,244.973,middle,244.973,250.973,244.973,250.973,250.973
fpsbench_000011,fpsstream_000011,How many times does the audience member hit the blue thundersticks against each other?,D,instance_count,25,https://www.youtube.com/watch?v=I6DqZclDMnM,85.0,100.0,subPlot_new_all_187.mp4,subPlot,121.473,585.0,417.358,late,417.358,432.358,425.358,428.358,428.358
fpsbench_000012,fpsstream_000012,What direction was the jetski traveling before being occluded by the big wave?,A,blink_and_miss,7,https://www.youtube.com/watch?v=nbGe5nRySBI,16.0,23.0,subPlot_new_all_88.mp4,subPlot,42.07,592.874,91.928,early,91.928,99.054,95.928,97.928,97.928
fpsbench_000013,fpsstream_000013,What is the motion of the fighter's left hand when he kicks for the first time?,C,state_at_event,5,https://www.youtube.com/watch?v=Icq7igCMXQY,45.0,53.0,subPlot_new_all_52.mp4,subPlot,98.215,591.992,281.637,middle,281.637,289.645,282.637,284.637,284.637
fpsbench_000014,fpsstream_000014,Which foot did the player use to pass the ball to their teammate?,B,fine_grained_motion,15,https://www.youtube.com/watch?v=FiTV85u7de8,24.0,30.0,subPlot_new_all_7.mp4,subPlot,213.294,594.0,500.859,late,500.859,506.859,503.859,506.859,506.859
fpsbench_000015,fpsstream_000015,How many times does the person clap?,D,repetitive_motion,7,https://www.youtube.com/watch?v=XOSmfoDeVKQ,87.0,92.0,order_105.mp4,order,107.329,595.0,124.415,early,124.415,129.415,124.415,129.415,129.415
fpsbench_000016,fpsstream_000016,How did the player in white near the goal strike the ball?,D,fine_grained_motion,5,https://www.youtube.com/watch?v=j5L7p8aumxk,30.0,38.0,order_69.mp4,order,25.666,592.0,237.741,middle,237.741,245.741,241.741,243.741,243.741
fpsbench_000017,fpsstream_000017,How many times does the woman spin?,C,repetitive_motion,5,https://www.youtube.com/watch?v=H50e7FgcsQE,20.0,26.0,movie101_26.mp4,movie101,119.162,594.0,460.761,late,460.761,466.761,460.761,464.761,464.761
fpsbench_000018,fpsstream_000018,What is the motion of the fighter's left hand when he kicks the first time?,B,state_at_event,5,https://www.youtube.com/watch?v=Icq7igCMXQY,60.0,67.0,order_18.mp4,order,42.026,592.993,156.351,early,156.351,163.358,156.351,159.351,159.351
fpsbench_000019,fpsstream_000019,Which action is not done by the man on stage?,D,fine_grained_motion,7,https://www.youtube.com/watch?v=-V5vSJe67Gg,40.0,53.0,count_68.mp4,count,90.749,586.987,263.852,middle,263.852,276.865,263.852,276.852,276.852
fpsbench_000020,fpsstream_000020,What is the motion of the fighter's left hand when he kicks the first time?,C,state_at_event,6,https://www.youtube.com/watch?v=Icq7igCMXQY,63.0,72.0,order_346.mp4,order,3372.9,590.991,510.366,late,510.366,519.375,513.366,516.366,516.366
fpsbench_000021,fpsstream_000021,"When the boxer dodges to his right, how does his left hand move?",C,state_at_event,5,https://www.youtube.com/watch?v=TZyq3Pk1gO8,54.0,58.0,subPlot_new_all_142.mp4,subPlot,280.528,595.996,144.292,early,144.292,148.296,145.292,147.292,147.292
fpsbench_000022,fpsstream_000022,How many dribbles are made in this possession?,B,instance_count,7,https://www.youtube.com/watch?v=oBRDevgcjEg,29.0,36.0,subPlot_new_all_112.mp4,subPlot,176.644,593.0,299.821,middle,299.821,306.821,299.821,301.821,301.821
fpsbench_000023,fpsstream_000023,What is the order of actions in this video?,A,action_order,9,https://www.youtube.com/watch?v=oBRDevgcjEg,49.0,56.0,subPlot_new_all_175.mp4,subPlot,709.26,593.0,489.475,late,489.475,496.475,489.475,496.475,496.475
fpsbench_000024,fpsstream_000024,How many passes are made?,C,repetitive_motion,12,https://www.youtube.com/watch?v=PZ8BVTiJsWU,26.0,33.0,order_51.mp4,order,19.487,593.0,115.114,early,115.114,122.114,115.114,121.114,121.114
fpsbench_000025,fpsstream_000025,Does the drummer hit the crash cymbal on his left?,A,blink_and_miss,7,https://www.youtube.com/watch?v=7t3mp15KeOQ,20.0,26.0,surveil_28.mp4,surveil,130.823,593.994,256.385,middle,256.385,262.391,257.385,258.385,258.385
fpsbench_000026,fpsstream_000026,"How does the drummer move his head, if at all, when he hits the crash cymbal?",C,state_at_event,6,https://www.youtube.com/watch?v=fw_tmJPo-AQ,16.0,26.0,surveil_0.mp4,surveil,64.857,590.0,481.658,late,481.658,491.658,483.658,486.658,486.658
fpsbench_000027,fpsstream_000027,How many hops does the gummy bear make?,C,repetitive_motion,7,https://www.youtube.com/watch?v=QWJiSq4rnqQ,3.0,8.0,subPlot_new_all_167.mp4,subPlot,386.062,595.0,112.388,early,112.388,117.388,113.388,116.388,116.388
fpsbench_000028,fpsstream_000028,Does the gummy bear blink?,A,blink_and_miss,25,https://www.youtube.com/watch?v=QWJiSq4rnqQ,90.0,94.0,count_40.mp4,count,4.853,596.0,260.822,middle,260.822,264.822,260.822,264.822,264.822
fpsbench_000029,fpsstream_000029,"How does the drummer move his head, if at all, when he hits the cymbal?",A,state_at_event,8,https://www.youtube.com/watch?v=fw_tmJPo-AQ,80.0,83.0,subPlot_new_all_163.mp4,subPlot,77.222,597.0,497.172,late,497.172,500.172,498.172,500.172,500.172
fpsbench_000030,fpsstream_000030,How many squares did the coach step into with both feet?,B,instance_count,14,https://www.youtube.com/watch?v=l96gOq1EKKc,0.0,7.0,subPlot_new_all_85.mp4,subPlot,302.002,592.993,78.868,early,78.868,85.875,79.868,83.868,83.868
fpsbench_000031,fpsstream_000031,How many times does the player in blue socks step in every square?,B,instance_count,4,https://www.youtube.com/watch?v=l96gOq1EKKc,162.0,170.0,order_301.mp4,order,36.864,591.992,292.801,middle,292.801,300.809,294.801,298.801,298.801
fpsbench_000032,fpsstream_000032,"How does the drummer move his head, if at all, when he hits the crash cymbal?",C,state_at_event,4,https://www.youtube.com/watch?v=fw_tmJPo-AQ,160.0,164.0,ego_81.mp4,ego,120.671,596.0,445.632,late,445.632,449.632,447.632,449.632,449.632
fpsbench_000033,fpsstream_000033,What did the driver wearing a JT suit do to the person on his left?,B,fine_grained_motion,7,https://www.youtube.com/watch?v=XHqeA5KrxJ8,10.0,15.0,order_122.mp4,order,11.644,594.995,152.287,early,152.287,157.292,154.287,155.287,155.287
fpsbench_000034,fpsstream_000034,"How does the drummer move his head, if at all, when he hits the crash cymbal?",C,state_at_event,4,https://www.youtube.com/watch?v=fw_tmJPo-AQ,171.0,175.0,subPlot_new_all_150.mp4,subPlot,13.972,596.0,277.609,middle,277.609,281.609,278.609,280.609,280.609
fpsbench_000035,fpsstream_000035,Which description best fits the motion of the skateboard during the trick?,B,fine_grained_motion,7,https://www.youtube.com/watch?v=Cr2ATK6c45Q,12.0,17.0,subPlot_new_all_3.mp4,subPlot,96.756,594.995,496.555,late,496.555,501.56,499.555,500.555,500.555
fpsbench_000036,fpsstream_000036,Describe the interaction between Yoshi and Donkey Kong.,C,blink_and_miss,7,https://www.youtube.com/watch?v=riges9z8MNI,32.0,38.0,subPlot_new_all_137.mp4,subPlot,185.39,594.0,164.317,early,164.317,170.317,168.317,169.317,169.317
fpsbench_000037,fpsstream_000037,What happened after Yoshi threw the red shell to the other cart?,A,blink_and_miss,15,https://www.youtube.com/watch?v=riges9z8MNI,58.0,62.0,subPlot_new_all_193.mp4,subPlot,8.9,596.0,302.309,middle,302.309,306.309,302.309,306.309,306.309
fpsbench_000038,fpsstream_000038,"What other part of the drumkit, if any, does the drummer hit at the same time as he hits the crash cymbal on his left",D,state_at_event,7,https://www.youtube.com/watch?v=chEw_-j_ttw,15.0,21.0,subPlot_new_all_77.mp4,subPlot,93.401,593.994,476.575,late,476.575,482.581,480.575,482.575,482.575
fpsbench_000039,fpsstream_000039,How many times does the cat blink?,D,instance_count,7,https://www.youtube.com/watch?v=OIfH4pgEsSE,10.0,18.0,order_16.mp4,order,56.29,591.992,161.93,early,161.93,169.938,161.93,167.93,167.93
fpsbench_000040,fpsstream_000040,How many times does the cat wave its feet up and down?,D,repetitive_motion,8,https://www.youtube.com/watch?v=OIfH4pgEsSE,100.0,110.0,subPlot_new_all_49.mp4,subPlot,1.926,589.99,259.628,middle,259.628,269.638,265.628,269.628,269.628
fpsbench_000041,fpsstream_000041,What is the order of the actions leading up to the scored basket?,C,action_order,4,https://www.youtube.com/watch?v=RTIKhgGXc6Y,32.0,42.0,order_38.mp4,order,41.886,589.99,489.089,late,489.089,499.099,489.089,496.089,496.089
fpsbench_000042,fpsstream_000042,"What other part of the drumkit, if any, does the drummer hit at the same time as he hits the small cymbal?",A,state_at_event,7,https://www.youtube.com/watch?v=chEw_-j_ttw,35.0,38.0,surveil_47.mp4,surveil,335.512,596.997,119.32,early,119.32,122.323,120.32,122.32,122.32
fpsbench_000043,fpsstream_000043,What is the outcome of the swing?,C,blink_and_miss,20,https://www.youtube.com/watch?v=6FXwWD5ZWiA,60.0,65.0,surveil_191.mp4,surveil,6.225,595.0,242.485,middle,242.485,247.485,245.485,247.485,247.485
fpsbench_000044,fpsstream_000044,How many times does the character duck?,C,repetitive_motion,4,https://www.youtube.com/watch?v=tugyFkBipzU,109.0,117.0,order_103.mp4,order,20.121,592.0,434.7,late,434.7,442.7,434.7,442.7,442.7
fpsbench_000045,fpsstream_000045,In what order does the character wearing blue execute their moves?,A,action_order,7,https://www.youtube.com/watch?v=IAH19ltbNNY,25.0,36.0,surveil_127.mp4,surveil,2007.315,589.0,92.994,early,92.994,103.994,94.994,103.994,103.994
fpsbench_000046,fpsstream_000046,Which of the following best describes the order of the blue character's actions?,C,action_order,15,https://www.youtube.com/watch?v=IAH19ltbNNY,100.0,111.0,subPlot_new_all_104.mp4,subPlot,65.015,589.0,279.039,middle,279.039,290.039,279.039,290.039,290.039
fpsbench_000047,fpsstream_000047,What is the outcome of the swing?,B,blink_and_miss,13,https://www.youtube.com/watch?v=c-lqzCU9He8,29.0,32.0,order_334.mp4,order,397.74,597.0,525.603,late,525.603,528.603,526.603,528.603,528.603
fpsbench_000048,fpsstream_000048,Which option best describes the order of events while the red and black uniformed players had the ball?,A,action_order,5,https://www.youtube.com/watch?v=G1GLlMG9ZzA,31.0,43.0,order_92.mp4,order,331.071,588.0,160.641,early,160.641,172.641,160.641,172.641,172.641
fpsbench_000049,fpsstream_000049,What best describes the order of the orange team's actions?,A,action_order,4,https://www.youtube.com/watch?v=WmI469YaS44,69.0,81.0,subPlot_new_all_25.mp4,subPlot,3301.703,588.0,318.251,middle,318.251,330.251,318.251,330.251,330.251
fpsbench_000050,fpsstream_000050,What best describes the sequence of the highlighted player's actions after the ball is snapped?,A,action_order,7,https://www.youtube.com/watch?v=e_QCblw9wH8,5.0,16.0,subPlot_new_all_133.mp4,subPlot,250.754,588.989,436.286,late,436.286,447.297,438.286,443.286,443.286
fpsbench_000051,fpsstream_000051,What best describes the sequence of the highlighted player's actions after the ball is snapped?,A,action_order,5,https://www.youtube.com/watch?v=e_QCblw9wH8,121.0,131.0,order_146.mp4,order,175.081,589.99,147.734,early,147.734,157.744,148.734,155.734,155.734
fpsbench_000052,fpsstream_000052,What best describes the player with the ball's order of actions?,A,action_order,9,https://www.youtube.com/watch?v=kkrpdkcdnSg,58.0,70.0,subPlot_new_all_168.mp4,subPlot,132.593,587.988,340.747,middle,340.747,352.759,340.747,352.747,352.747
fpsbench_000053,fpsstream_000053,What best describes the player hilghited with arrow's order of actions in the clip?,B,action_order,5,https://www.youtube.com/watch?v=an2W53AZsX0,7.0,16.0,surveil_23.mp4,surveil,173.562,590.991,422.674,late,422.674,431.683,422.674,431.674,431.674
fpsbench_000054,fpsstream_000054,What best describes the quarterback's order of actions in the clip?,C,action_order,6,https://www.youtube.com/watch?v=0aNwPDDxDR0,9.0,19.0,subPlot_new_all_190.mp4,subPlot,35.458,589.99,63.332,early,63.332,73.342,67.332,73.332,73.332
fpsbench_000055,fpsstream_000055,Which best describes the sequence of actions taken by the blue team?,B,action_order,5,https://www.youtube.com/watch?v=fIUgqCqmrIE,31.0,42.0,order_12.mp4,order,23.535,589.0,315.082,middle,315.082,326.082,315.082,326.082,326.082
fpsbench_000056,fpsstream_000056,What was the correct sequence of actions taken by the team wearing blue?,D,action_order,5,https://www.youtube.com/watch?v=fIUgqCqmrIE,63.0,74.0,count_185.mp4,count,191.598,589.0,486.645,late,486.645,497.645,486.645,497.645,497.645
fpsbench_000057,fpsstream_000057,What best describes the quarterback's actions?,A,action_order,4,https://www.youtube.com/watch?v=zPF2qDw45k4,35.0,46.0,subPlot_new_all_195.mp4,subPlot,8.251,588.989,173.009,early,173.009,184.02,174.009,184.009,184.009
fpsbench_000058,fpsstream_000058,How many cars overtake the dashcam car?,D,repetitive_motion,23,https://www.youtube.com/watch?v=eHz_5du9_3k,42.0,46.0,movie101_0.mp4,movie101,76.533,596.0,302.04,middle,302.04,306.04,302.04,306.04,306.04
fpsbench_000059,fpsstream_000059,How many times does the robot rotate the bottle cap?,A,repetitive_motion,4,https://www.youtube.com/watch?v=Ge704NtN6h8,80.0,92.0,subPlot_new_all_147.mp4,subPlot,283.929,587.988,503.526,late,503.526,515.538,503.526,515.526,515.526
fpsbench_000060,fpsstream_000060,How many times does the ballet dancer rotate?,C,repetitive_motion,7,https://www.youtube.com/watch?v=y7WRBOxKexc,29.0,42.0,order_66.mp4,order,136.287,587.0,60.797,early,60.797,73.797,60.797,73.797,73.797
fpsbench_000061,fpsstream_000061,How many times does he throw the bottle with his right hand?,B,repetitive_motion,5,https://www.youtube.com/watch?v=-8NMM8ozyFM,213.0,220.0,order_95.mp4,order,52.358,592.993,251.338,middle,251.338,258.345,251.338,258.338,258.338
fpsbench_000062,fpsstream_000062,What is the outcome of the swing?,B,blink_and_miss,15,https://www.youtube.com/watch?v=c-lqzCU9He8,70.0,78.0,order_68.mp4,order,85.045,592.0,462.704,late,462.704,470.704,465.704,467.704,467.704
fpsbench_000063,fpsstream_000063,What is the outcome of the swing?,B,blink_and_miss,5,https://www.youtube.com/watch?v=7oh_sktS3mw,22.0,26.0,subPlot_new_all_32.mp4,subPlot,1402.902,596.0,168.737,early,168.737,172.737,170.737,172.737,172.737
fpsbench_000064,fpsstream_000064,How many times did he hit the hammer?,D,repetitive_motion,7,https://www.youtube.com/watch?v=YvbkW-krbc8,48.0,55.0,subPlot_new_all_95.mp4,subPlot,1429.442,592.993,289.077,middle,289.077,296.084,289.077,296.077,296.077
fpsbench_000065,fpsstream_000065,The ball touches which of these items before falling into the glass of water and how many times?,D,fine_grained_motion,6,https://www.youtube.com/watch?v=EsnROwdyM_E,8.0,16.0,subPlot_new_all_82.mp4,subPlot,66.699,591.992,431.064,late,431.064,439.072,431.064,439.064,439.064
fpsbench_000066,fpsstream_000066,What is the outcome of the swing?,A,blink_and_miss,7,https://www.youtube.com/watch?v=7oh_sktS3mw,27.0,37.0,count_4.mp4,count,482.704,590.0,151.835,early,151.835,161.835,155.835,158.835,158.835
fpsbench_000067,fpsstream_000067,What is the outcome of the swing?,B,blink_and_miss,7,https://www.youtube.com/watch?v=7oh_sktS3mw,36.0,42.0,surveil_100.mp4,surveil,1633.702,594.0,343.255,middle,343.255,349.255,346.255,349.255,349.255
fpsbench_000068,fpsstream_000068,How many times did he hit the cymbal?,B,instance_count,14,https://www.youtube.com/watch?v=i6SNvdQOfdg,79.0,88.0,order_17.mp4,order,74.185,590.974,498.426,late,498.426,507.452,498.426,507.426,507.426
fpsbench_000069,fpsstream_000069,What is the outcome of the swing?,A,blink_and_miss,7,https://www.youtube.com/watch?v=7oh_sktS3mw,47.0,52.0,order_63.mp4,order,25.858,595.0,72.311,early,72.311,77.311,75.311,77.311,77.311
fpsbench_000070,fpsstream_000070,What is the outcome of the swing?,C,blink_and_miss,5,https://www.youtube.com/watch?v=9nz2K0NnS_w,75.0,81.0,subPlot_new_all_50.mp4,subPlot,169.827,594.0,246.283,middle,246.283,252.283,250.283,252.283,252.283
fpsbench_000071,fpsstream_000071,"Does the singer on the left point, if so, what direction",C,fine_grained_motion,7,https://www.youtube.com/watch?v=zb0E-UUlRXM,105.0,115.0,order_50.mp4,order,24.214,589.99,504.099,late,504.099,514.109,510.099,512.099,512.099
fpsbench_000072,fpsstream_000072,What does the main singer in frame do with his left hand?,A,fine_grained_motion,5,https://www.youtube.com/watch?v=zb0E-UUlRXM,138.0,148.0,order_49.mp4,order,87.562,589.99,100.965,early,100.965,110.975,107.965,109.965,109.965
fpsbench_000073,fpsstream_000073,What is the outcome of the swing?,A,blink_and_miss,9,https://www.youtube.com/watch?v=F1MYT8xPVno,48.0,51.0,subPlot_new_all_182.mp4,subPlot,6.836,597.0,323.921,middle,323.921,326.921,323.921,326.921,326.921
fpsbench_000074,fpsstream_000074,"Is there a camera flash at some point in the video? If so, does it distract the conductor?",B,blink_and_miss,14,https://www.youtube.com/watch?v=6aFKVMybnPs,18.0,25.0,order_22.mp4,order,58.874,593.0,451.414,late,451.414,458.414,453.414,455.414,455.414
fpsbench_000075,fpsstream_000075,How is the conductor's left hand best described when he raises it with his palm up?,C,fine_grained_motion,14,https://www.youtube.com/watch?v=6aFKVMybnPs,45.0,55.0,subPlot_new_all_172.mp4,subPlot,209.519,590.0,62.725,early,62.725,72.725,67.725,69.725,69.725
fpsbench_000076,fpsstream_000076,What does the goalie use to block the first shot?,D,fine_grained_motion,7,https://www.youtube.com/watch?v=7zLPeWeKux0,70.0,86.0,order_258.mp4,order,13.623,583.984,233.794,middle,233.794,249.81,238.794,240.794,240.794
fpsbench_000077,fpsstream_000077,What does the goalie use to block the first shot?,D,fine_grained_motion,14,https://www.youtube.com/watch?v=Nz2WdS880SE,64.0,75.0,count_139.mp4,count,652.04,588.989,455.06,late,455.06,466.071,455.06,457.06,457.06
fpsbench_000078,fpsstream_000078,How does the player score?,D,fine_grained_motion,9,https://www.youtube.com/watch?v=WmI469YaS44,9.0,25.0,subPlot_new_all_124.mp4,subPlot,2048.243,584.0,109.118,early,109.118,125.118,112.118,114.118,114.118
fpsbench_000079,fpsstream_000079,Which of the following actions is not done by the person holding the yellow and orange flag?,C,fine_grained_motion,7,https://www.youtube.com/watch?v=WmI469YaS44,120.0,135.0,subPlot_new_all_47.mp4,subPlot,46.905,585.0,256.65,middle,256.65,271.65,256.65,271.65,271.65
fpsbench_000080,fpsstream_000080,What is the outcome of the swing?,D,blink_and_miss,15,https://www.youtube.com/watch?v=F1MYT8xPVno,57.0,61.0,count_236.mp4,count,0.398,596.0,440.854,late,440.854,444.854,441.854,444.854,444.854
fpsbench_000081,fpsstream_000081,"How many fingers does the man raise, if any?",B,fine_grained_motion,7,https://www.youtube.com/watch?v=7eBKiAm-wMQ,80.0,90.0,count_18.mp4,count,207.178,590.0,117.293,early,117.293,127.293,123.293,125.293,125.293
fpsbench_000082,fpsstream_000082,What is the outcome of the swing?,C,blink_and_miss,6,https://www.youtube.com/watch?v=F1MYT8xPVno,61.0,66.0,order_83.mp4,order,57.537,595.0,266.416,middle,266.416,271.416,267.416,270.416,270.416
fpsbench_000083,fpsstream_000083,"Other than at the viewer and at the computer, what other direction does the man glance?",C,fine_grained_motion,5,https://www.youtube.com/watch?v=nwaRacliuAY,15.0,26.0,order_210.mp4,order,129.362,588.989,461.604,late,461.604,472.615,464.604,466.604,466.604
fpsbench_000084,fpsstream_000084,The ball touches which of these items before falling into the glass of water and how many times?,C,fine_grained_motion,4,https://www.youtube.com/watch?v=4hNy4R7T4LQ,76.0,86.0,surveil_146.mp4,surveil,2607.274,590.0,84.563,early,84.563,94.563,85.563,88.563,88.563
fpsbench_000085,fpsstream_000085,What is the outcome of the swing?,C,blink_and_miss,5,https://www.youtube.com/watch?v=F1MYT8xPVno,73.0,75.0,movie101_109.mp4,movie101,62.035,598.0,272.045,middle,272.045,274.045,272.045,274.045,274.045
fpsbench_000086,fpsstream_000086,What is the outcome of the swing?,C,blink_and_miss,6,https://www.youtube.com/watch?v=vP_ueKMdn9E,35.0,40.0,subPlot_new_all_140.mp4,subPlot,46.193,594.995,482.898,late,482.898,487.903,483.898,486.898,486.898
fpsbench_000087,fpsstream_000087,What is the outcome of the swing?,A,blink_and_miss,6,https://www.youtube.com/watch?v=vP_ueKMdn9E,93.0,96.0,subPlot_new_all_37.mp4,subPlot,96.787,596.997,60.949,early,60.949,63.952,60.949,63.949,63.949
fpsbench_000088,fpsstream_000088,What does the man point at using his index finger?,C,fine_grained_motion,7,https://www.youtube.com/watch?v=4KvNvdBgPEY,5.0,22.0,subPlot_new_all_45.mp4,subPlot,3161.976,582.983,278.044,middle,278.044,295.061,291.044,293.044,293.044
fpsbench_000089,fpsstream_000089,How many times does the woman spin?,D,repetitive_motion,5,https://www.youtube.com/watch?v=H50e7FgcsQE,25.0,32.0,order_14.mp4,order,44.13,593.0,447.828,late,447.828,454.828,448.828,454.828,454.828
fpsbench_000090,fpsstream_000090,How many times does the man spin?,A,repetitive_motion,4,https://www.youtube.com/watch?v=H50e7FgcsQE,8.0,16.0,order_54.mp4,order,42.581,592.0,171.401,early,171.401,179.401,173.401,178.401,178.401
fpsbench_000091,fpsstream_000091,How many times does he rotate the gear?,B,repetitive_motion,5,https://www.youtube.com/watch?v=MSL9WLsn5ME,15.0,23.0,4.mp4,misc,7.065,591.992,283.515,middle,283.515,291.523,283.515,291.515,291.515
fpsbench_000092,fpsstream_000092,How many times did he bounce the basketball?,C,repetitive_motion,5,https://www.youtube.com/watch?v=ZbsXBnUYwUk,70.0,78.0,surveil_15.mp4,surveil,117.272,591.992,493.501,late,493.501,501.509,493.501,501.501,501.501
fpsbench_000093,fpsstream_000093,What is the outcome of the swing?,B,blink_and_miss,7,https://www.youtube.com/watch?v=IhA15zjvsEU,7.0,16.0,subPlot_new_all_61.mp4,subPlot,107.55,591.0,170.111,early,170.111,179.111,176.111,179.111,179.111
fpsbench_000094,fpsstream_000094,How many keys does he press with his left hand?,D,instance_count,6,https://www.youtube.com/watch?v=RndF6owP5aM,3.0,10.0,order_79.mp4,order,371.757,593.0,269.672,middle,269.672,276.672,269.672,276.672,276.672
fpsbench_000095,fpsstream_000095,What is the outcome of the swing?,B,blink_and_miss,7,https://www.youtube.com/watch?v=IhA15zjvsEU,49.0,52.0,order_319.mp4,order,37.941,597.0,485.711,late,485.711,488.711,486.711,488.711,488.711
fpsbench_000096,fpsstream_000096,How many times did he sharpen the knife?,B,repetitive_motion,4,https://www.youtube.com/watch?v=6rk-n_XYh94,100.0,114.0,subPlot_new_all_39.mp4,subPlot,195.486,586.0,140.576,early,140.576,154.576,140.576,154.576,154.576
fpsbench_000097,fpsstream_000097,What order best describes the sequence of the player on the right's attacks?,A,action_order,5,https://www.youtube.com/watch?v=m6CcC2vHsRc,24.0,34.0,order_90.mp4,order,107.254,590.0,266.678,middle,266.678,276.678,266.678,276.678,276.678
fpsbench_000098,fpsstream_000098,What order best describes the sequence of the player on the right's attacks?,C,action_order,5,https://www.youtube.com/watch?v=m6CcC2vHsRc,77.0,88.0,surveil_124.mp4,surveil,216.343,589.0,415.499,late,415.499,426.499,416.499,426.499,426.499
fpsbench_000099,fpsstream_000099,What best describes the sequence of the character wearing blue's attacks?,B,action_order,5,https://www.youtube.com/watch?v=wJN_BKgtVvs,177.0,186.0,subPlot_new_all_176.mp4,subPlot,831.531,590.991,77.001,early,77.001,86.01,79.001,86.001,86.001
fpsbench_000100,fpsstream_000100,What best describes the order of actions during the special rapid attack sequence?,D,action_order,6,https://www.youtube.com/watch?v=wJN_BKgtVvs,194.0,205.0,subPlot_new_all_30.mp4,subPlot,1758.947,588.989,331.82,middle,331.82,342.831,333.82,338.82,338.82
fpsbench_000101,fpsstream_000101,Which option best matches the sequence of attacks executed by the character wearing blue?,C,action_order,5,https://www.youtube.com/watch?v=IAH19ltbNNY,52.0,61.0,movie101_25.mp4,movie101,104.595,591.0,518.293,late,518.293,527.293,518.293,527.293,527.293
fpsbench_000102,fpsstream_000102,Which option best matches the sequence of attacks executed by the character wearing blue?,B,action_order,5,https://www.youtube.com/watch?v=IAH19ltbNNY,90.0,100.0,subPlot_new_all_36.mp4,subPlot,5.014,590.0,85.364,early,85.364,95.364,86.364,95.364,95.364
fpsbench_000103,fpsstream_000103,Which sequence best matches the order of the white-haired fighter's actions?,B,action_order,4,https://www.youtube.com/watch?v=KosFwf4hsKE,116.0,127.0,order_315.mp4,order,1007.399,588.989,293.241,middle,293.241,304.252,293.241,304.241,304.241
