video_id,task,question,answer,answer_letter,min_fps,sample_fps,trigger,trigger_time_sec,n_frames_seen,n_frames_loaded,truncated,qa_acc,pred_answer,pred_choice,correct_choice,presented_choices,n_generated_tokens,latency_seconds,retrieval_fired,question_id,position_bin,position_frac,needle_start_sec,needle_end_sec,query_time_sec,stream_fps,haystack_file,needle_first_frame,needle_last_frame,n_needle_frames,retrieval_distance_sec,retrieval_distance_frames,tokens_after_needle,needle_in_local_window,n_layers_retrieved,n_blocks_per_layer,n_needle_blocks,layers_hit_frac,blocks_hit_mean,retrieve_size,chunk_size
fpsstream_000258,action_order,"In what order do the people in the light blue, dark blue and beige shirts in the stands stop clapping","The person wearing beige stops first, then the person wearing dark blue, then the person wearing light blue",A,8.0,4.0,query,499.557,1999,2400,False,0.0,B,B,A,"['The person wearing beige stops first, then the person wearing dark blue, then the person wearing light blue', 'The person wearing dark blue stops first, then the person wearing beige, then the person wearing light blue', 'The person wearing light blue stops first, then the person wearing beige, then the person wearing dark blue', 'The person wearing light blue stops first, then the person wearing dark blue, then the person wearing beige', 'None of the above']",2,0.4988,True,fpsbench_000260,late,0.8301,490.557,499.566,499.557,24.0,movie101_30.mp4,1963,1998,36,-0.009,0,0,True,28,64,36,0.6786,1.6071,64,1
fpsstream_000259,fine_grained_motion,How does the person season the chicken?,"He shakes the seasoning bottle up and down, quickly",B,5.0,4.0,query,142.627,571,2400,False,100.0,B,B,B,"['He shakes the seasoning bottle up and down, slowly', 'He shakes the seasoning bottle up and down, quickly', 'He shakes the seasoning bottle side to side, quickly', 'He shakes the seasoning bottle side to side, slowly', 'None of the above']",2,0.4504,True,fpsbench_000261,early,0.2278,134.627,143.701,142.627,50.0,order_88.mp4,539,570,32,-1.074,0,0,True,28,64,32,1.0,16.0714,64,1
fpsstream_000260,fine_grained_motion,How does the person mix the ingredients in the bowl?,"Mostly counter clockwise mixing, with occasional clockwise gestures",D,10.0,4.0,query,356.676,1427,2400,False,0.0,C,C,D,"['Clockwise mixing the entire time', 'Counter clockwise mixing the entire time', 'Mostly clockwise mixing, with occasional counter clockwise gestures', 'Mostly counter clockwise mixing, with occasional clockwise gestures', 'None of the above']",2,0.574,True,fpsbench_000262,middle,0.593,351.676,358.676,356.676,30.0,count_237.mp4,1407,1426,20,-2.0,0,0,True,28,64,20,0.9643,9.1071,64,1
fpsstream_000261,fine_grained_motion,How does the person place the meat in the bowl?,"He places the meat in partially, and then dropping it",D,5.0,4.0,query,469.227,1877,2400,False,0.0,C,C,D,"['He drops the meat in', 'He places the meat in fully', 'He places the meat in fully, pressing it into the bowl', 'He places the meat in partially, and then dropping it', 'None of the above']",2,0.491,True,fpsbench_000263,late,0.7825,463.227,471.227,469.227,25.0,subPlot_new_all_0.mp4,1853,1876,24,-2.0,0,0,True,28,64,24,0.9643,16.4643,64,1
fpsstream_000262,fine_grained_motion,How does the person mix the ingredients in the bowl?,By whisking in a clockwise motion,B,11.0,4.0,query,162.515,651,2400,False,100.0,B,B,B,"['By shaking the whisk side to side', 'By whisking in a clockwise motion', 'By wisking in a counterclockwise motion', 'By whisking in a clockwise motion sometimes, and in a counter clockwise motion other times', 'None of the above']",2,0.4781,True,fpsbench_000264,early,0.2635,156.515,162.521,162.515,24.0,subPlot_new_all_125.mp4,627,650,24,-0.006,0,0,True,28,64,24,0.9643,8.9643,64,1
fpsstream_000263,fine_grained_motion,How does the person on the right mix the cream?,Clockwise mixing the entire time,A,10.0,4.0,query,318.535,1275,2400,False,0.0,C,C,A,"['Clockwise mixing the entire time', 'Counter clockwise mixing the entire time', 'Mostly clockwise mixing, with occasional counter clockwise gestures', 'Mostly counter clockwise mixing, with occasional clockwise gestures', 'None of the above']",2,0.5422,True,fpsbench_000265,middle,0.5278,314.535,318.552,318.535,25.0,subPlot_new_all_143.mp4,1259,1274,16,-0.017,0,0,True,28,64,16,0.8929,2.6071,64,1
fpsstream_000264,blink_and_miss,Which of the following actions is not done by the woman?,She gestures at the camera,D,5.0,4.0,query,519.138,2077,2400,False,0.0,E,E,D,"['She blinks', 'She shakes her head', 'She gestures to herself', 'She gestures at the camera', 'None of the above']",2,0.617,True,fpsbench_000266,late,0.8627,508.138,519.149,519.138,30.0,order_44.mp4,2033,2076,44,-0.011,0,0,True,28,64,44,0.8929,7.0,64,1
fpsstream_000265,fine_grained_motion,How does the person empty the contents of the bag?,By gently shaking the bag,C,7.0,4.0,query,121.052,485,2400,False,0.0,D,D,C,"['A smooth pour into the pot', 'By roughly shaking the bag side to side', 'By gently shaking the bag', ""By performing a smooth pour at the start, and shaking the bag at the end to get the last of the bag's contents out"", 'None of the above']",2,0.5602,True,fpsbench_000267,early,0.1899,112.052,122.052,121.052,25.0,subPlot_new_all_110.mp4,449,484,36,-1.0,0,0,True,28,64,36,0.9643,10.25,64,1
fpsstream_000266,fine_grained_motion,Which of the following actions is not done by the man?,He blinks while looking at the camera,D,5.0,4.0,query,348.564,1395,2400,False,0.0,E,E,D,"['He points up', 'He looks at the plate he holds', 'He looks at the stove beneath him', 'He blinks while looking at the camera', 'None of the above']",2,0.5894,True,fpsbench_000268,middle,0.5738,338.564,348.564,348.564,25.0,subPlot_new_all_131.mp4,1355,1394,40,0.0,0,0,True,28,64,40,0.7857,4.8214,64,1
fpsstream_000267,causality_detection,What was the primary reason the puck did not enter the goal?,The puck deflected off a defender's shoulder before being stopped by the goalkeeper's glove,C,10.0,4.0,query,513.314,2054,2400,False,0.0,A,A,C,"['The goalkeeper made a ""pad stack"" save, blocking the lower part of the goal', 'Only the goalkeeper stopped the puck using his gloves', ""The puck deflected off a defender's shoulder before being stopped by the goalkeeper's glove"", 'A defender intercepted the shot by dropping to the ice and blocking it with their body', 'None of the above']",2,0.5587,True,fpsbench_000269,late,0.8531,503.314,513.324,513.314,25.0,count_200.mp4,2014,2053,40,-0.01,0,0,True,28,64,40,1.0,5.8929,64,1
fpsstream_000268,action_order,What is the precise sequence of drum and cymbal strikes the Drums performs?,"The Drums begins with a single cymbal strike, followed by a roll across the toms. He then hits another single cymbal, performs a series of rapid hits on the snare drum, strikes two cymbals, and concludes with final strikes on the snare drum",B,10.0,4.0,query,171.453,686,2400,False,100.0,B,B,B,"['The Drums begins with a single cymbal strike, followed by a roll across the toms and another single cymbal strike. He then strikes two cymbals, performs a series of rapid hits on the snare drum, and concludes with a final strike on the snare drum', 'The Drums begins with a single cymbal strike, followed by a roll across the toms. He then hits another single cymbal, performs a series of rapid hits on the snare drum, strikes two cymbals, and concludes with final strikes on the snare drum', 'The Drums begins with a single cymbal strike and a single strike on toms. He then performs a series of rapid hits on the snare drum, strikes two cymbals, and concludes with a final cymbal crash', 'The Drums begins with striking the toms, followed by a single cymbal strike. He then hits another single cymbal, performs a series of rapid hits on the snare drum, strikes two cymbals simultaneously, and concludes with a final strike on the snare drum', 'None of the above']",2,0.5175,True,fpsbench_000270,early,0.2785,165.453,171.459,171.453,30.0,surveil_57.mp4,662,685,24,-0.006,0,0,True,28,64,24,1.0,20.5357,64,1
fpsstream_000269,action_order,Which of the following accurately describes the sequence of actions performed by the white dog?,"The dog spins around, barks once, sits down, barks a second time while jumping sideways, playfully engages with the other dog, and then stands up",D,5.0,4.0,query,292.618,1171,2400,False,0.0,C,C,D,"['The dog barks once, spins around, sits down, barks a second time while jumping sideways, playfully engages with the other dog, and then stands up', 'The dog spins around, barks once, lies down, barks a second time while pouncing forward, playfully engages with the other dog, and then stands up', 'The dog spins around, barks once, sits down, barks again, playfully engages with the other dog, and then stands up', 'The dog spins around, barks once, sits down, barks a second time while jumping sideways, playfully engages with the other dog, and then stands up', 'None of the above']",2,0.582,True,fpsbench_000271,middle,0.4746,277.618,292.632,292.618,30.0,order_268.mp4,1111,1170,60,-0.014,0,0,True,28,64,60,0.6071,3.8929,64,1
fpsstream_000270,action_order,Which of the following accurately describes the sequence of actions performed by the dog?,"The dog runs toward the camera holding a plastic item, drops the item, nudges the camera, retrieves the item, moves back, and drops the item again upon being distracted",A,4.0,4.0,query,501.272,2006,2400,False,0.0,B,B,A,"['The dog runs toward the camera holding a plastic item, drops the item, nudges the camera, retrieves the item, moves back, and drops the item again upon being distracted', 'The dog runs toward the camera with a plastic item, drops it, picks it back up, moves back, and drops the item again upon being distracted', 'The dog runs toward the camera with a plastic item, drops it, nudges the camera, retrieves the item, and drops the item again', 'The dog runs toward the camera holding a plastic item, drops the item, retrieves the item, moves back, and drops the item again as he got angry', 'None of the above']",2,0.4701,True,fpsbench_000272,late,0.8327,491.272,501.272,501.272,24.0,movie101_62.mp4,1966,2005,40,0.0,0,0,True,28,64,40,0.5714,0.9643,64,1
fpsstream_000271,action_order,What is the sequence of actions done by the two men in this video?,"They skate left with the ball in hand, jump twice, spin at their location, skate around the ball, spin once, and then push up on the ball",B,4.0,4.0,query,170.689,683,2400,False,100.0,B,B,B,"['They skate left with the ball in hand, spin at their location, jump twice, skate around the ball, spin once, and then push up on the ball', 'They skate left with the ball in hand, jump twice, spin at their location, skate around the ball, spin once, and then push up on the ball', 'They skate left with the ball in hand, jump once, skate around the ball, spin once, and then push up on the ball', 'They skate left with the ball in hand, jump twice, spin at their location, skate around the ball, and then push up on the ball', 'None of the above']",2,0.5147,True,fpsbench_000273,early,0.2699,158.689,170.689,170.689,24.0,subPlot_new_all_58.mp4,635,682,48,0.0,0,0,True,28,64,48,0.8571,3.1786,64,1
fpsstream_000272,action_order,"Based on the video, what is the correct chronological order of the major actions performed by the woman ice skating?","The woman performs a counter-clockwise spin, skates backward, executes a clockwise spin while moving forward, holds a pose with one leg and both arms raised, and finishes with a bow followed by multiple counter-clockwise spins",D,6.0,4.0,query,278.678,1115,2400,False,100.0,D,D,D,"['The woman skates backward, performs a counter-clockwise spin, executes a clockwise spin while moving forward, holds a pose with one leg and both arms raised, and finishes with a bow followed by multiple counter-clockwise spins', 'The woman performs a clockwise spin, skates backward, executes a counter-clockwise spin while moving forward, holds a pose with one leg and both arms raised, and finishes with a bow followed by multiple clockwise spins', 'The woman performs a counter-clockwise spin, skates backwards, then executes a clockwise spin while moving forward, holds a pose with one leg raised, and finishes with a bow followed by multiple clockwise spins', 'The woman performs a counter-clockwise spin, skates backward, executes a clockwise spin while moving forward, holds a pose with one leg and both arms raised, and finishes with a bow followed by multiple counter-clockwise spins', 'None of the above']",2,0.5354,True,fpsbench_000274,middle,0.4554,268.678,278.678,278.678,24.0,movie101_83.mp4,1075,1114,40,0.0,0,0,True,28,64,40,0.7143,1.4643,64,1
fpsstream_000273,action_order,"Based on the video, what is the correct chronological order of the major actions performed by the man and woman ice skating?","The pair begins with a synchronized clockwise spin, skates together, performs a simple leg lift, and then a more complex one-leg-and-arm lift, followed by a final synchronized lift and skating together",D,5.0,4.0,query,511.836,2048,2400,False,100.0,D,D,D,"['The pair begins with a synchronized clockwise spin, skates together, performs a simple leg lift, and then a more complex one-leg-and-arm lift. The woman then executes a solo spin, followed by a final synchronized lift and skating together', 'The pair begins with a synchronized clockwise spin, skates together, performs a simple leg lift twice. The woman then executes a solo spin, followed by a final synchronized lift and skating together', 'The pair begins by skating together, performs a simple leg lift, and then a more complex one-leg-and-arm lift, followed by another final synchronized lift and skating together', 'The pair begins with a synchronized clockwise spin, skates together, performs a simple leg lift, and then a more complex one-leg-and-arm lift, followed by a final synchronized lift and skating together', 'None of the above']",2,0.5454,True,fpsbench_000275,late,0.8506,501.836,511.836,511.836,24.0,subPlot_new_all_156.mp4,2008,2047,40,0.0,0,0,True,28,64,40,0.6429,1.7857,64,1
fpsstream_000274,action_order,"Based on the video, what is the precise sequence of actions performed by the red team","A defender passes the puck to a forward. This player skates into the offensive zone, chips the puck over an opposing player's stick, regains possession, and then makes a drop pass to a trailing teammate who scores the goal",C,5.0,4.0,query,145.316,582,2400,False,0.0,A,A,C,"['A defender passes the puck to a forward, who carries it into the offensive zone, performs a deke to get around an opponent, and then shoots the puck directly past the goalie to score', ""The play starts with a defender's pass to a forward. The forward skates in, draws a defender towards them, and then makes a saucer pass around the opponent to a teammate who one-times the puck into the net"", ""A defender passes the puck to a forward. This player skates into the offensive zone, chips the puck over an opposing player's stick, regains possession, and then makes a drop pass to a trailing teammate who scores the goal"", 'A defender passes the puck to a forward, who carries it into the offensive zone, fools the opponent using false stick play, and then pass around the opponent to a teammate who one-times the puck into the net', 'None of the above']",2,0.5478,True,fpsbench_000276,early,0.232,137.316,145.316,145.316,30.0,count_216.mp4,550,581,32,0.0,0,0,True,28,64,32,1.0,19.5714,64,1
fpsstream_000275,action_order,"Based on the video, what is the precise sequence of actions performed by the red team?","A player forces a turnover with a shoulder check, and a teammate recovers the puck. After a pass, an initial shot from in front of the goal is deflected by a defender. Another player then passes to a teammate near the net, who dribbles past the defender and scores",A,7.0,4.0,query,250.44,1002,2400,False,100.0,A,A,A,"['A player forces a turnover with a shoulder check, and a teammate recovers the puck. After a pass, an initial shot from in front of the goal is deflected by a defender. Another player then passes to a teammate near the net, who dribbles past the defender and scores', 'A player forces a turnover with a shoulder check, and a teammate recovers the puck. His pass is deflected by a defender. Another player then passes to a teammate near the net, who dribbles past the defender and scores', 'A player forces a turnover with a shoulder check, and a teammate recovers the puck. After a pass, an initial shot from in front of the goal is deflected by the goalie. Another player then passes to a teammate near the net, who dribbles past the goalie and scores', 'A player forces a turnover with a shoulder check, and a teammate recovers the puck. He passes the puck to another teammate, whose shot is deflected by a defender. Another player then passes to a teammate in front of the goal, who dribbles past the goalie and scores', 'None of the above']",2,0.3488,True,fpsbench_000277,middle,0.4065,239.44,250.44,250.44,25.0,subPlot_new_all_127.mp4,958,1001,44,0.0,0,0,True,28,64,44,0.6071,4.3571,64,1
fpsstream_000276,fine_grained_motion,What gesture does the man do at the end of the video,He tilts his head right,D,5.0,4.0,query,465.12,1861,2400,False,0.0,B,B,D,"['He nods.', 'He shakes his arm.', 'He tilts his head left', 'He tilts his head right', 'None of the above']",2,0.636,True,fpsbench_000278,late,0.7694,450.12,465.12,465.12,30.0,order_99.mp4,1801,1860,60,0.0,0,0,True,28,64,60,0.4643,1.0357,64,1
fpsstream_000277,fine_grained_motion,How does the man empty the contents of the pot?,"By gently shaking its content out, then roughly shaking it at the end",D,8.0,4.0,query,96.248,385,2400,False,0.0,A,A,D,"['By roughly shaking its contents out at the start, then giving it a few gently shakes at the end', 'By roughly shaking its contents out', 'By gently shaking its contents out', 'By gently shaking its content out, then roughly shaking it at the end', 'None of the above']",2,0.4626,True,fpsbench_000279,early,0.1491,88.248,96.248,96.248,25.0,movie101_5.mp4,353,384,32,0.0,0,0,True,28,64,32,1.0,18.2857,64,1
fpsstream_000278,fine_grained_motion,"The man makes the same hand gesture twice in the clip, which statement is true?",He shakes his hands more the second time he gestures,B,9.0,4.0,query,257.449,1030,2400,False,0.0,D,D,B,"['He shakes his hands more the first time he gestures', 'He shakes his hands more the second time he gestures', 'His hands are steady both times he gestures', 'He shakes his hands slightly one of the times he gestures, but keeps his hands steady in the other', 'None of the above']",2,0.3403,True,fpsbench_000280,middle,0.4228,249.449,259.449,257.449,25.0,subPlot_new_all_21.mp4,998,1029,32,-2.0,0,0,True,28,64,32,0.8571,4.25,64,1
fpsstream_000279,instance_count,How many times does the camera view change?,4,C,6.0,4.0,query,537.129,2149,2400,False,0.0,D,D,C,"['2', '3', '4', '5', 'None of the above']",2,0.477,True,fpsbench_000281,late,0.8943,532.129,537.129,537.129,25.0,order_41.mp4,2129,2148,20,0.0,0,0,True,28,64,20,0.5357,1.3214,64,1
fpsstream_000280,fine_grained_motion,Which of the following actions is the woman repetatively doing in the video?,"Rotating the chair a small amount, as well as slight nodding",B,4.0,4.0,query,136.446,546,2400,False,100.0,B,B,B,"['Slight nodding', 'Rotating the chair a small amount, as well as slight nodding', 'Slightly shaking her head', 'Rotating the chair a small amount, as well as slightly shaking her head', 'None of the above']",2,0.5029,True,fpsbench_000282,early,0.2209,131.446,136.446,136.446,30.0,order_57.mp4,526,545,20,0.0,0,0,True,28,64,20,1.0,9.5,64,1
fpsstream_000281,blink_and_miss,Which of the following actions does the man not do?,Slighly nod his head,C,5.0,4.0,query,282.506,1131,2400,False,0.0,E,E,C,"['Blink', 'Slightly shake his head', 'Slighly nod his head', 'Raise his eyebrows suddenly', 'None of the above']",2,0.568,True,fpsbench_000283,middle,0.4664,277.506,282.506,282.506,25.0,subPlot_new_all_183.mp4,1111,1130,20,0.0,0,0,True,28,64,20,0.9643,5.4643,64,1
fpsstream_000282,causality_detection,What caused the fight between the two players?,"A player in white initiated contact by shoulder-checking a player in blue, prompting a different blue-team player to retaliate against the player in white",B,4.0,4.0,query,483.431,1934,2400,False,100.0,B,B,B,"['A player in white shoulder-checked a player in blue, who immediately turned and retaliated with a shoulder-check of his own', 'A player in white initiated contact by shoulder-checking a player in blue, prompting a different blue-team player to retaliate against the player in white', 'The player in blue slipped because of the player in white, then he retailiated with a shoulder-check, resulting in the fight', 'Two opposing players were aggressively fighting for the puck, and the situation escalated when they simultaneously shoulder-checked each other', 'None of the above']",2,0.8302,True,fpsbench_000284,late,0.8059,471.431,486.431,483.431,30.0,order_100.mp4,1886,1933,48,-3.0,0,0,True,28,64,48,0.9643,5.3929,64,1
fpsstream_000283,blink_and_miss,Which of the following statements are false?,The lights on stage turn on and off at the same rate throughout the entire cli,B,6.0,4.0,query,98.148,393,2400,False,100.0,B,B,B,"['The lights on stage turn on and off in sync with each other', 'The lights on stage turn on and off at the same rate throughout the entire cli', 'The lights flash the same color throughout the entire clip', 'The lights all flash at the same intensity', 'None of the above']",2,0.4412,True,fpsbench_000285,early,0.1508,89.148,98.148,98.148,24.0,subPlot_new_all_13.mp4,357,392,36,0.0,0,0,True,28,64,36,0.7857,2.7143,64,1
fpsstream_000284,fine_grained_motion,Which hit performed by the character is the first time he kicks?,The 4th hit,A,11.0,4.0,query,333.667,1335,2400,False,0.0,D,D,A,"['The 4th hit', 'The 5th hit', 'The 6th hit', 'The 3rd hit', 'None of the above']",2,0.5049,True,fpsbench_000286,middle,0.5524,328.667,333.672,333.667,25.0,subPlot_new_all_20.mp4,1315,1334,20,-0.005,0,0,True,28,64,20,1.0,15.0357,64,1
fpsstream_000285,fine_grained_motion,"After the male character is slammed, what is the first attack by the female character that damages the male character?",Side kick,C,4.0,4.0,query,524.641,2099,2400,False,0.0,A,A,C,"['Front kick', 'Low kick', 'Side kick', 'Crouching Punch', 'None of the above']",2,0.4545,True,fpsbench_000287,late,0.8746,518.641,525.648,524.641,30.0,order_133.mp4,2075,2098,24,-1.007,0,0,True,28,64,24,0.7857,4.2143,64,1
fpsstream_000286,fine_grained_motion,"What is the first attack performed by any character, regardless of whether it lands?",A punch by the character on the right,A,5.0,4.0,query,162.401,650,2400,False,0.0,D,D,A,"['A punch by the character on the right', 'A kick by the character on the right', 'A low kick by the character on the left', 'A punch by the character on the left', 'None of the above']",2,0.3071,True,fpsbench_000288,early,0.2691,157.401,172.416,162.401,25.0,subPlot_new_all_51.mp4,630,649,20,-10.015,0,0,True,28,64,20,1.0,16.8571,64,1
fpsstream_000287,synchronization_assessment,Do all the three dancers holding their hands bow synchronously?,the dancers in the middle and the right bow synchronously,D,7.0,4.0,query,344.739,1379,2400,False,0.0,C,C,D,"['Yes', 'the dancer on the right bows before the other two', 'the dancers in the middle and the left bow synchronously', 'the dancers in the middle and the right bow synchronously', 'None of the above']",2,0.486,True,fpsbench_000289,middle,0.5727,340.739,345.744,344.739,30.0,order_72.mp4,1363,1378,16,-1.005,0,0,True,28,64,16,0.7857,3.9286,64,1
fpsstream_000288,causality_detection,What caused the clear mug to fall over?,the orange cat put its paw in the mug,B,6.0,4.0,query,474.132,1897,2400,False,0.0,C,C,B,"['the gray cat nudged it', 'the orange cat put its paw in the mug', 'the orange cat kicked the mug with its feet while jumping off the counter', 'the gray cat pushed it with its feet', 'None of the above']",2,0.3145,True,fpsbench_000290,late,0.7934,468.132,478.132,474.132,30.0,order_65.mp4,1873,1896,24,-4.0,0,0,True,28,64,24,0.6429,1.0,64,1
fpsstream_000289,synchronization_assessment,Do all the six dancers bow synchronously?,the two dancers on the right bow simultaneously before the rest,B,5.0,4.0,query,103.855,416,2400,False,0.0,A,A,B,"['Yes', 'the two dancers on the right bow simultaneously before the rest', 'the two dancers in left bow before the rest', 'the dancers wearing blue attire bow synchronously', 'None of the above']",2,0.5275,True,fpsbench_000291,early,0.1678,99.855,104.86,103.855,30.0,count_102.mp4,400,415,16,-1.005,0,0,True,28,64,16,0.7857,2.0357,64,1
fpsstream_000290,causality_detection,What caused the empty bottle to fall over?,the cat flicks it with its tail,D,5.0,4.0,query,347.252,1390,2400,False,0.0,B,B,D,"['the vibration of the toaster popping', 'the cat nudges the bottle with its feet', 'wind blows over the bottle', 'the cat flicks it with its tail', 'None of the above']",2,0.6768,True,fpsbench_000292,middle,0.5759,343.252,347.252,347.252,30.0,surveil_5.mp4,1374,1389,16,0.0,0,0,True,28,64,16,0.9286,12.3571,64,1
fpsstream_000291,fine_grained_motion,"What is the first attack that manages to deal damage, based on the health bars at the top of the video?",A throw or slam by the female character,C,6.0,4.0,query,504.074,2017,2400,False,0.0,A,A,C,"['A punch my the female character', 'A high kick by the female character', 'A throw or slam by the female character', 'A flying kick by the female character', 'None of the above']",2,2.6005,True,fpsbench_000293,late,0.8414,498.074,506.082,504.074,25.0,order_171.mp4,1993,2016,24,-2.008,0,0,True,28,64,24,1.0,20.5357,64,1
fpsstream_000292,fine_grained_motion,What is the second attack the character on the right successfully blocks?,A low kick,D,6.0,4.0,query,71.019,285,2400,False,0.0,B,B,D,"['A punch', 'A high kick', 'A slam', 'A low kick', 'None of the above']",2,0.4555,True,fpsbench_000294,early,0.1089,64.019,76.031,71.019,25.0,subPlot_new_all_158.mp4,257,284,28,-5.012,0,0,True,28,64,28,1.0,28.0,64,1
fpsstream_000293,fine_grained_motion,"What kind of attack was performed on the 10th hit of the combo, indicated by the combo counter?",A side kick,C,8.0,4.0,query,309.54,1239,2400,False,0.0,B,B,C,"['A punch', 'A roundhouse kick', 'A side kick', 'A slash', 'None of the above']",2,1.0598,True,fpsbench_000295,middle,0.5094,300.54,310.54,309.54,24.0,subPlot_new_all_152.mp4,1203,1238,36,-1.0,0,0,True,28,64,36,1.0,27.6071,64,1
