video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_2,Spatial Understanding,What is the position relationship between the woman in a black dress and the woman in a white outfit?,"['They are standing side by side.', 'They are standing back to back.', 'The woman in black is in front of the woman in white.', 'The woman in white is holding the trophy.']",They are standing side by side.,A,A) They are standing side by side.,A,100.0,20.0,21,172,1.0,False,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_3,Attribute Perception,What color is the goalkeeper's kit when standing in front of the goalposts?,"['Red.', 'Green.', 'Yellow.', 'Blue.']",Yellow.,C,C).,C,100.0,69.0,70,172,1.0,False,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_4,Object Perception,What advertisement is displayed on the red boards behind the goal?,"['AMBILIGHT TV.', 'NIKE.', 'ESTRELLA DAMM.', 'ADIDAS.']",ESTRELLA DAMM.,C,C) ESTRELLA DAMM.,C,100.0,123.0,124,172,1.0,False,64,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_5,Action Perception,What are the two people in the video frame doing now?,"['handshaking.', 'Hugging.', 'High-fiving.', 'Fist bumping.']",handshaking.,A,A) handshaking.,A,100.0,171.0,172,172,1.0,False,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_2,Causal Reasoning,Why are the players in green and white striving to intercept the ball?,"['They are warming up for the game.', 'They are practicing their defensive moves.', 'They are reacting to an offensive move toward the goal.', 'They are performing a choreographed play.']",They are reacting to an offensive move toward the goal.,C,C) They are reacting to an offensive move toward the goal.,C,100.0,19.0,20,221,1.0,False,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_1,Object Perception,What emblem appears at the beginning of the video?,"['An animal symbol.', 'A football club shield.', 'A national flag.', 'A corporate logo.']",A football club shield.,B,B) A football club shield.,B,100.0,20.0,21,221,1.0,False,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_3,Text-Rich Understanding,What was the score and the position of the teams right now?,"['1-0, the team in blue and red is leading.', '2-0, the team in white is leading.', '2-0, the team in blue and red is leading.', '1-1, the teams are tied.']","2-0, the team in blue and red is leading.",C,"C) 2-0, the team in blue and red is leading.",C,100.0,64.0,65,221,1.0,False,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_4,Event Understanding,What is the updated score after the player in number 11 scored a goal?,"['2-0.', '3-0.', '5-0.', '4-0.']",4-0.,D,A).,A,0.0,131.0,132,221,1.0,False,64,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_5,Attribute Perception,"What uniform does the player named ""JOAO CANCELO"" wear?","['Purple and white.', 'Red and blue striped.', 'Blue and yellow.', 'Green and black.']",Red and blue striped.,B,B) Red and blue striped.,B,100.0,220.0,221,221,1.0,False,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_1,Text-Rich Understanding,What name is written on the goalkeeper's bright green jersey?,"['NEUER.', 'PICKFORD.', 'DE GEA.', 'COURTOIS.']",PICKFORD.,B,B) PICKFORD.,B,100.0,14.0,15,444,1.0,False,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_2,Object Perception,What brand is visible on the player's white cleats?,"['Nike.', 'Puma.', 'Adidas.', 'Under Armour.']",Adidas.,C,A) Nike.,A,0.0,18.0,19,444,1.0,False,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_3,Event Understanding,What is the outcome of the penalty kick just now?,"['The goalkeeper saves the ball.', 'The ball hits the post.', 'The ball goes over the crossbar.', 'The ball goes into the net.']",The ball goes over the crossbar.,C,D) The ball goes into the net.,D,0.0,147.0,148,444,1.0,False,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_4,Action Perception,What did the goalkeeper do during the penalty kick?,"['Stood still.', 'Dived to his left.', 'Dived to his right.', 'Ran towards the ball.']",Dived to his left.,B,B) Dived to his left.,B,100.0,273.0,274,444,1.0,False,64,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_5,Text-Rich Understanding,What number is on the back of the goalkeeper's kit who is preparing to dive for the penalty kick?,"['10.', '7.', '5.', '1.']",1.,D,D).,D,100.0,443.0,444,444,1.0,False,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_1,Action Perception,What action is the player in the white shirt with number 20 doing?,"['Walking on the field.', 'Preparing for a penalty kick.', 'Waving to the crowd.', 'Kneeling on the ground.']",Kneeling on the ground.,D,D) Kneeling on the ground.,D,100.0,14.0,15,426,1.0,False,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_2,Object Perception,What brand is advertised on the boards behind the goal?,"['Adidas.', 'Nike.', 'Pepsi.', 'Kia Motors.']",Kia Motors.,D,D) Kia Motors.,D,100.0,145.0,146,426,1.0,False,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_3,Event Understanding,What is the crowd's reaction during the player's preparation for the penalty kick?,"['Celebrating wildly.', 'Leaving the stadium.', 'Booing the player.', 'Seemingly in prayer or anticipation.']",Seemingly in prayer or anticipation.,D,D) Seemingly in prayer or anticipation.,D,100.0,151.0,152,426,1.0,False,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_4,Action Perception,What is the player in the black jersey doing just now?,"['Raising both arms.', 'Moving away from the ball.', 'Running toward the crowd.', 'Bending down to adjust the football.']",Bending down to adjust the football.,D,B) Moving away from the ball.,B,0.0,293.0,294,426,1.0,False,64,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_5,Text-Rich Understanding,What is written on the back of the goalkeeper's jersey?,"['SMITH 10.', 'JONES 15.', 'SCHEMEICHEL 1.', 'MARTIN 8.']",SCHEMEICHEL 1.,C,C) SCHEMEICHEL 1.,C,100.0,425.0,426,426,1.0,False,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_1,Event Understanding,What is happening in the penalty area of the football field?,"['A player is preparing to take a penalty kick.', 'A player is scoring a goal.', 'A fight is breaking out.', 'The referee is ending the game.']",A player is preparing to take a penalty kick.,A,A) A player is preparing to take a penalty kick.,A,100.0,16.0,17,397,1.0,False,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_2,Event Understanding,What happens after the penalty kick is taken?,"['The penalty kick was saved by the goalkeeper.', 'The goalkeeper catches the ball.', 'The ball goes into the bottom left of the net.', 'The ball is deflected by a defender.']",The penalty kick was saved by the goalkeeper.,A,C) The ball goes into the bottom left of the net.,C,0.0,135.0,136,397,1.0,False,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_4,Event Understanding,What happens after the goalkeeper dives to his right?,"['The ball goes past the goalkeeper.', 'The goalkeeper catches the ball.', 'The player misses the goal.', 'The ball hits the post.']",The ball goes past the goalkeeper.,A,A) The ball goes past the goalkeeper.,A,100.0,258.0,259,397,1.0,False,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_3,Action Perception,What does the player in the white and light blue striped jersey do after running forward?,"['Passes the ball.', 'Stops running.', 'Celebrates.', 'Kicks the ball towards the goal.']",Kicks the ball towards the goal.,D,D) Kicks the ball towards the goal.,D,100.0,260.0,261,397,1.0,False,64,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_5,Event Understanding,What event is taking place right now?,"['A soccer match celebration.', 'A concert.', 'A protest.', 'A graduation ceremony.']",A soccer match celebration.,A,A) A soccer match celebration.,A,100.0,396.0,397,397,1.0,False,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_1,Attribute Perception,What is the color and number of the football player's jersey who is preparing for a penalty kick?,"['Red, 10.', 'Blue, 14.', 'Black, 22.', 'White, 26.']","White, 26.",D,"D) White, 26.",D,100.0,5.0,6,257,1.0,False,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_2,Attribute Perception,What name and number are on the goalkeeper's jersey righ now?,"['COSTA, 26.', 'RONALDO, 7.', 'MESSI, 10.', 'DIOGO COSTA, 22.']","DIOGO COSTA, 22.",D,"D) DIOGO COSTA, 22.",D,100.0,14.0,15,257,1.0,False,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_3,Text-Rich Understanding,What advertisement is visible around the perimeter of the field right now?,"['""Airbnb"".', '""Expedia"".', '""Booking.com"".', '""TripAdvisor"".']","""Booking.com"".",C,"C) ""Booking.com"".",C,100.0,85.0,86,257,1.0,False,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_4,Attribute Perception,What colors are present on the shirt of the fan holding the scarf?,"['Red with white trimming.', 'Green with red trimming.', 'Yellow with red trimming.', 'Red with green trimming.']",Red with green trimming.,D,D) Red with green trimming.,D,100.0,163.0,164,257,1.0,False,64,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_5,Event Understanding,What is the outcome of Bernardo's penalty kick?,"['The ball hits the post.', 'The ball goes out of bounds.', 'The goalkeeper saves the ball.', 'The ball hits the back of the net.']",The ball hits the back of the net.,D,D) The ball hits the back of the net.,D,100.0,256.0,257,257,1.0,False,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_1,Text-Rich Understanding,What card is this person playing now?,"['Nine of Spades.', 'Six of Spades.', 'Nine of Hearts.', 'Seven of Diamonds.']",Nine of Spades.,A,C) Nine of Hearts.,C,0.0,11.0,12,76,1.0,False,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_2,Clips Summarize,What does the video primarily capture?,"['A card game in progress between two individuals.', 'A cooking tutorial.', 'A conversation between two people.', 'A travel vlog.']",A card game in progress between two individuals.,A,A) A card game in progress between two individuals.,A,100.0,19.0,20,76,1.0,False,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_3,Object Perception,What else is on the table besides the playing cards and a black object?,"['A pair of glasses.', 'A computer.', 'A pile of books.', 'A stack of notebooks.']",A pair of glasses.,A,A) A pair of glasses.,A,100.0,54.0,55,76,1.0,False,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_4,Attribute Perception,What type of shirt is the opponent wearing?,"['A blue and white patterned shirt.', 'A plain white shir.', 'A yellow patterned shirt.', 'A red checkered shirt.']",A blue and white patterned shirt.,A,A) A blue and white patterned shirt.,A,100.0,71.0,72,76,1.0,False,64,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_5,Prospective Reasoning,What will the camera holder most likely do next?,"['Place Four of hearts onto the central pile.', 'Place the Ace of Spades onto the discard pile.', 'Put the Seven of Diamonds onto the foundation stack.', 'Move the King of Clubs to the empty tableau column.']",Place Four of hearts onto the central pile.,A,B) Place the Ace of Spades onto the discard pile.,B,0.0,75.0,76,76,1.0,False,64,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_1,Attribute Perception,What is the color of the sky right now?,"['Clear with sunshine.', 'Overcast with heavy clouds.', 'Dark and stormy.', 'Clear with scattered clouds.']",Overcast with heavy clouds.,B,B) Overcast with heavy clouds.,B,100.0,31.0,32,458,1.0,False,64,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_2,Event Understanding,What happens after the person stops mashing and places the bowl to one side?,"['He pick up pineapple from the table.', 'He begin slicing a yellow fruit.', 'He start grilling pineapple and meat.', 'He pour sauce into a small white bowl.']",He pick up pineapple from the table.,A,D) He pour sauce into a small white bowl.,D,0.0,128.0,129,458,1.0,False,64,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_3,Spatial Understanding,How are the food items arranged on the grill?,"['The buns are on the right side, and the vegetables and meat are on the left side.', 'The buns are on the top, and the vegetables and meat are on the bottom.', 'The buns are on the left side, and the vegetables and meat are on the right side.', 'The buns are at the center, and the vegetables and meat are on both sides.']","The buns are on the left side, and the vegetables and meat are on the right side.",C,"C) The buns are on the left side, and the vegetables and meat",C,100.0,282.0,283,458,1.0,False,64,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_4,Attribute Perception,Which item placed on the grill has a yellow color?,"['Meat slices.', 'Bell pepper.', 'Pineapple.', 'Hamburger buns.']",Pineapple.,C,C) Pineapple.,C,100.0,304.0,305,458,1.0,False,64,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_5,Attribute Perception,What item is the person holding right now?,"['A white rectangular plate with hamburgers.', 'A white circular plate with a fish.', 'A blue rectangular plate with a salad.', 'A green square plate with a pie.']",A white rectangular plate with hamburgers.,A,A) A white rectangular plate with hamburgers.,A,100.0,457.0,458,458,1.0,False,64,1
