video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_378,Real-Time Visual Understanding_sample_378_1,Clips Summarize,Which of the following options best summarizes the actions performed just now?,"['The worker searched for ingredients by opening cans and containers, selecting items to prepare a salad.', 'The worker prepared a sandwich by taking bread, adding condiments, and wrapping it.', 'The worker wore gloves and prepared to assemble a sandwich, with loaves of bread and various fillings visible.', 'The worker cleaned the workstation and disposed of the packaging of sandwich ingredients.']","The worker wore gloves and prepared to assemble a sandwich, with loaves of bread and various fillings visible.",C,"C) The worker wore gloves and prepared to assemble a sandwich, with loaves",C,100.0,10.0,11,231,1.0,False,64,1
Real-Time_Visual_Understanding__sample_378,Real-Time Visual Understanding_sample_378_2,Clips Summarize,Which of the following options best summarizes the actions performed just now?,"['The worker prepared a dessert by gathering ingredients, measuring them, and combining them, ready for baking.', 'The worker washed their hands, prepped vegetables, and started slicing them for a stir-fry dish.', 'The worker sliced various meats, arranged them on a piece of bread, and added slices of cheese to construct a sandwich.', 'The worker cleaned the countertop, sanitized the utensils, and organized the kitchen workspace.']","The worker sliced various meats, arranged them on a piece of bread, and added slices of cheese to construct a sandwich.",C,"C) The worker sliced various meats, arranged them on a piece of bread,",C,100.0,63.0,64,231,1.0,False,64,1
Real-Time_Visual_Understanding__sample_378,Real-Time Visual Understanding_sample_378_3,Clips Summarize,Which of the following options best summarizes the actions performed just now?,"['The worker took out the toasted sandwich.', 'The worker removed a loaf of bread from storage, sliced it, and placed it on a tray for toasting.', 'The worker washed vegetables and prepped them for a salad, placing them in the designated containers.', 'The worker inspected the quality of the baked goods and discarded those that were not up to standards.']",The worker took out the toasted sandwich.,A,"B) The worker removed a loaf of bread from storage, sliced it, and",B,0.0,115.0,116,231,1.0,False,64,1
Real-Time_Visual_Understanding__sample_378,Real-Time Visual Understanding_sample_378_4,Clips Summarize,Which of the following options best summarizes the actions performed just now?,"['The worker prepared a sandwich by adding jalapenos, retrieving ketchup, and then applying ketchup and another condiment before wrapping it up.', 'The worker assembled a salad by chopping vegetables, seasoning the mixture, and serving it to a customer.', 'The worker toasted a sandwich, cut it, added the final toppings, and packaged it for delivery.', 'The worker retrieved various vegetables from storage, cleaned them, and placed them in a food container.']","The worker prepared a sandwich by adding jalapenos, retrieving ketchup, and then applying ketchup and another condiment before wrapping it up.",A,"A) The worker prepared a sandwich by adding jalapenos, retrieving ketchup",A,100.0,194.0,195,231,1.0,False,64,1
Real-Time_Visual_Understanding__sample_378,Real-Time Visual Understanding_sample_378_5,Clips Summarize,Which of the following options best summarizes the actions performed just now?,"['The worker topped a sandwich with tomatoes, cucumbers, and onions, then wrapped it for delivery.', 'The worker added fresh ingredients such as tomatoes and cucumbers to a sandwich, aligning them carefully on lettuce and other toppings.', 'The worker prepared a salad by chopping onions, cucumbers, and other vegetables, and then mixed them in a bowl.', 'The worker grilled a sandwich with various ingredients and sliced it before packaging it for a customer.']","The worker added fresh ingredients such as tomatoes and cucumbers to a sandwich, aligning them carefully on lettuce and other toppings.",B,B) The worker added fresh ingredients such as tomatoes and cucumbers to a,B,100.0,230.0,231,231,1.0,False,64,1
Real-Time_Visual_Understanding__sample_379,Real-Time Visual Understanding_sample_379_1,Clips Summarize,Which of the following options best summarizes the activities seen in the recent video?,"['An individual enters a storage area, picks up a cleaning tool, and starts cleaning the floor.', 'An individual navigates through a cluttered area, moves a container, and looks for something on the shelves.', 'An individual walks through a hallway, encounters cleaning equipment, and then washed his hands.', 'An individual checks the inventory stock, organizes boxes, and ensures the supplies are properly arranged.']","An individual walks through a hallway, encounters cleaning equipment, and then washed his hands.",C,"C) An individual walks through a hallway, encounters cleaning equipment, and then washed",C,100.0,10.0,11,327,1.0,False,64,1
Real-Time_Visual_Understanding__sample_379,Real-Time Visual Understanding_sample_379_2,Clips Summarize,Which action best summarizes the preparation process seen just now?,"['The individual is frying chicken, seasoning it, and packaging it for serving.', 'The individual is preparing a salad by slicing vegetables and arranging them on a plate.', 'The individual is cleaning the fryer area, organizing equipment, and storing the fries for later use.', 'The individual is frying French fries, seasoning them.']","The individual is frying French fries, seasoning them.",D,"D) The individual is frying French fries, seasoning them.",D,100.0,151.0,152,327,1.0,False,64,1
Real-Time_Visual_Understanding__sample_379,Real-Time Visual Understanding_sample_379_3,Clips Summarize,Which of the following options best summarizes the actions taken just now in the video?,"['The individual took a break, cleaned the surrounding area, and sanitized the working station.', 'The individual selected various food items, placed them in a pan, and started cooking them on a stovetop.', 'The individual poured the fries into the packaging box.', 'The individual prepared a salad by chopping vegetables and setting them onto a plate.']",The individual poured the fries into the packaging box.,C,C) The individual poured the fries into the packaging box.,C,100.0,174.0,175,327,1.0,False,64,1
Real-Time_Visual_Understanding__sample_379,Real-Time Visual Understanding_sample_379_4,Clips Summarize,Which of the following options best summarizes the scene just now?,"['The individual inspected the food items in the refrigerator, rearranged them, and closed the door.', 'The individual checked and adjusted multiple fryer baskets of fries, making sure they were cooking properly, before stepping back.', 'The individual cleaned the counter and surrounding areas, ensuring a tidy workspace.', 'The individual organized and labeled various containers in preparation for a cooking task.']","The individual checked and adjusted multiple fryer baskets of fries, making sure they were cooking properly, before stepping back.",B,"B) The individual checked and adjusted multiple fryer baskets of fries, making sure",B,100.0,247.0,248,327,1.0,False,64,1
Real-Time_Visual_Understanding__sample_379,Real-Time Visual Understanding_sample_379_5,Clips Summarize,Which of the following best summarizes the actions performed just now?,"['The individual organized frozen ingredients, arranged them on a tray, and placed it in the oven.', 'The individual picked out the burnt fries and threw them into the trash can.', 'The individual prepared a bucket of peeled potatoes, rinsed them in water, and placed them in a storage bin.', 'The individual packaged French fries, added salt, and placed the containers on a service counter.']",The individual picked out the burnt fries and threw them into the trash can.,B,"D) The individual packaged French fries, added salt, and placed the containers on",D,0.0,326.0,327,327,1.0,False,64,1
Real-Time_Visual_Understanding__sample_380,Real-Time Visual Understanding_sample_380_1,Object Perception,What is mounted on the lamp post right now?,"['A camera.', 'A streetlight.', 'An American flag.', 'A traffic sign.']",An American flag.,C,D) A traffic sign.,D,0.0,5.0,6,509,1.0,False,64,1
Real-Time_Visual_Understanding__sample_380,Real-Time Visual Understanding_sample_380_2,Attribute Perception,What is the predominant color of the banners on the street right now?,"['Purple', 'Red', 'Blue', 'Green']",Purple,A,A) Purple,A,100.0,128.0,129,509,1.0,False,64,1
Real-Time_Visual_Understanding__sample_380,Real-Time Visual Understanding_sample_380_3,Text-Rich Understanding,Which street is indicated on the green sign right now?,"['E 40 St.', 'E 34 St.', 'W 42 St.', 'Broadway.']",E 40 St.,A,B) E 34 St.,B,0.0,256.0,257,509,1.0,False,64,1
Real-Time_Visual_Understanding__sample_380,Real-Time Visual Understanding_sample_380_4,Object Perception,What is positioned next to the road right now?,"['Parking meters.', 'Trash bins.', 'Orange traffic barrels.', 'Benches.']",Orange traffic barrels.,C,C) Orange traffic barrels.,C,100.0,384.0,385,509,1.0,False,64,1
Real-Time_Visual_Understanding__sample_380,Real-Time Visual Understanding_sample_380_5,Text-Rich Understanding,What sign is visible on the left side of the street right now?,"['One Way', 'Speed Limit', 'No Parking', 'Yield']",One Way,A,A) One Way,A,100.0,508.0,509,509,1.0,False,64,1
Real-Time_Visual_Understanding__sample_381,Real-Time Visual Understanding_sample_381_1,Object Perception,What is the vehicle immediately in front of the taxi right now?,"['A bus.', 'A bicycle.', 'A yellow car.', 'A motorcycle.']",A yellow car.,C,C) A yellow car.,C,100.0,2.0,3,489,1.0,False,64,1
Real-Time_Visual_Understanding__sample_381,Real-Time Visual Understanding_sample_381_2,Attribute Perception,What colors are the advertisements on the left buildings right now?,"['Red and White.', 'Black and Yellow.', 'Green and White.', 'Blue and Red.']",Red and White.,A,A).,A,100.0,125.0,126,489,1.0,False,64,1
Real-Time_Visual_Understanding__sample_381,Real-Time Visual Understanding_sample_381_3,Object Perception,What type of vehicle is in front of the yellow taxi right now?,"['A black car.', 'A white van.', 'A gray SUV.', 'A red truck.']",A black car.,A,A) A black car.,A,100.0,247.0,248,489,1.0,False,64,1
Real-Time_Visual_Understanding__sample_381,Real-Time Visual Understanding_sample_381_4,Object Perception,What is the person in the crosswalk holding in her hand right now?,"['A handbag.', 'A phone.', 'A shopping bag and a handbag.', 'An umbrella.']",A shopping bag and a handbag.,C,A) A handbag.,A,0.0,368.0,369,489,1.0,False,64,1
Real-Time_Visual_Understanding__sample_381,Real-Time Visual Understanding_sample_381_5,Attribute Perception,What colors are the cones lining the street?,"['Orange and white.', 'Yellow and black.', 'Green and white.', 'Blue and white.']",Orange and white.,A,A) Orange and white.,A,100.0,488.0,489,489,1.0,False,64,1
Real-Time_Visual_Understanding__sample_382,Real-Time Visual Understanding_sample_382_1,Attribute Perception,What color is the taxi visible right now?,"['Blue.', 'Green.', 'Yellow.', 'Red.']",Yellow.,C,C) Yellow.,C,100.0,38.0,39,503,1.0,False,64,1
Real-Time_Visual_Understanding__sample_382,Real-Time Visual Understanding_sample_382_2,Object Perception,What type of vehicle is shown in the foreground right now?,"['A truck.', 'A taxi.', 'A motorcycle.', 'A bicycle.']",A taxi.,B,B) A taxi.,B,100.0,126.0,127,503,1.0,False,64,1
Real-Time_Visual_Understanding__sample_382,Real-Time Visual Understanding_sample_382_3,Text-Rich Understanding,What type of lanes is indicated by the road markings right now?,"['Carpool lanes.', 'HOV lanes.', 'Bus lanes.', 'Bike lanes.']",Bus lanes.,C,C) Bus lanes.,C,100.0,254.0,255,503,1.0,False,64,1
Real-Time_Visual_Understanding__sample_382,Real-Time Visual Understanding_sample_382_4,Text-Rich Understanding,What time is displayed on the clock visible right now?,"['12:50.', '13:10.', '12:00.', '12:25.']",12:25.,D,D) 12:25.,D,100.0,377.0,378,503,1.0,False,64,1
Real-Time_Visual_Understanding__sample_382,Real-Time Visual Understanding_sample_382_5,Text-Rich Understanding,Which brand's store is visible on the right side of the street right now?,"['Nike.', 'GAP.', 'Adidas.', 'H&M.']",GAP.,B,A) Nike.,A,0.0,502.0,503,503,1.0,False,64,1
Real-Time_Visual_Understanding__sample_383,Real-Time Visual Understanding_sample_383_1,Object Perception,Which country's flag is hanging on the right side of the road now?,"['Australia.', 'Italy.', 'United States.', 'UK.']",United States.,C,D).,D,0.0,3.0,4,499,1.0,False,64,1
Real-Time_Visual_Understanding__sample_383,Real-Time Visual Understanding_sample_383_2,Text-Rich Understanding,Which store sign is currently visible on the right side of the road right now?,"[""Victoria's Secret"", 'Lululemon.', 'Ann Taylor.', 'Forever 21.']",Ann Taylor.,C,B) Lululemon.,B,0.0,128.0,129,499,1.0,False,64,1
Real-Time_Visual_Understanding__sample_383,Real-Time Visual Understanding_sample_383_3,Object Perception,Which basketball-related sign is currently visible in the video right now?,"['NBA Store.', 'Nike Store.', 'Adidas Shop.', 'Reebok Shop.']",NBA Store.,A,A) NBA Store.,A,100.0,251.0,252,499,1.0,False,64,1
Real-Time_Visual_Understanding__sample_383,Real-Time Visual Understanding_sample_383_4,Text-Rich Understanding,Which store sign is visible on the right side of the road right now?,"['Starbucks.', 'Pret A Manger.', 'Chipotle.', ""McDonald's.""]",Pret A Manger.,B,B) Pret A Manger.,B,100.0,374.0,375,499,1.0,False,64,1
Real-Time_Visual_Understanding__sample_383,Real-Time Visual Understanding_sample_383_5,Text-Rich Understanding,Which roads are currently visible in the video right now?,"['East 40th St and 3rd Ave.', 'East 36th St and 5th Ave.', 'East 42nd St and Madison Ave.', 'East 30th St and Park Ave.']",East 36th St and 5th Ave.,B,C) East 42nd St and Madison Ave.,C,0.0,498.0,499,499,1.0,False,64,1
Real-Time_Visual_Understanding__sample_384,Real-Time Visual Understanding_sample_384_1,Object Perception,What type of vehicles are prominently visible in this clip?,"['Buses.', 'Yellow taxis.', 'Motorcycles.', 'Police cars.']",Yellow taxis.,B,B) Yellow taxis.,B,100.0,4.0,5,507,1.0,False,64,1
Real-Time_Visual_Understanding__sample_384,Real-Time Visual Understanding_sample_384_2,Attribute Perception,What color are most of the taxis visible right now?,"['Green.', 'White.', 'Yellow.', 'Black.']",Yellow.,C,C) Yellow.,C,100.0,129.0,130,507,1.0,False,64,1
Real-Time_Visual_Understanding__sample_384,Real-Time Visual Understanding_sample_384_3,Attribute Perception,What are the visible sign colors mounted on the buildings right now?,"['Green and blue.', 'Red and black.', 'Yellow and white.', 'Green and white.']",Green and white.,D,A) Green and blue.,A,0.0,254.0,255,507,1.0,False,64,1
Real-Time_Visual_Understanding__sample_384,Real-Time Visual Understanding_sample_384_4,Object Perception,What is predominantly seen on the poles lining the street right now?,"['Traffic lights.', 'Banners.', 'Flower pots.', 'Bike racks.']",Banners.,B,A) Traffic lights.,A,0.0,380.0,381,507,1.0,False,64,1
Real-Time_Visual_Understanding__sample_384,Real-Time Visual Understanding_sample_384_5,Object Perception,What is the mode of transportation that several individuals are using right now?,"['Roller skates.', 'Skateboards.', 'Bicycles.', 'Scooters.']",Bicycles.,C,C) Bicycles.,C,100.0,506.0,507,507,1.0,False,64,1
Real-Time_Visual_Understanding__sample_385,Real-Time Visual Understanding_sample_385_1,Text-Rich Understanding,Which store's name is visible on the left side of the street?,"['Bed Bath & Beyond.', 'Barnes & Noble.', 'Target.', 'Best Buy.']",Bed Bath & Beyond.,A,A) Bed Bath & Beyond.,A,100.0,4.0,5,491,1.0,False,64,1
Real-Time_Visual_Understanding__sample_385,Real-Time Visual Understanding_sample_385_2,Text-Rich Understanding,Which brand logo is visible on the store awnings?,"['Walmart.', ""Trader Joe's."", 'Whole Foods.', 'Starbucks.']",Trader Joe's.,B,D) Starbucks.,D,0.0,123.0,124,491,1.0,False,64,1
Real-Time_Visual_Understanding__sample_385,Real-Time Visual Understanding_sample_385_3,Spatial Understanding,What is the Citibank sign located right now?,"['On the right side of the road.', 'On the left side of the road.', 'In the front of the car.', 'Behind the car.']",On the left side of the road.,B,A) On the right side of the road.,A,0.0,247.0,248,491,1.0,False,64,1
Real-Time_Visual_Understanding__sample_385,Real-Time Visual Understanding_sample_385_4,Attribute Perception,What is the notable color of the taxi right now?,"['Red.', 'Blue.', 'Yellow.', 'Green.']",Yellow.,C,C) Yellow.,C,100.0,370.0,371,491,1.0,False,64,1
Real-Time_Visual_Understanding__sample_385,Real-Time Visual Understanding_sample_385_5,Text-Rich Understanding,What is the brand of the visible pharmacy right now?,"['Walgreens.', 'Duane Reade.', 'Rite Aid.', 'CVS.']",Duane Reade.,B,B) Duane Reade.,B,100.0,490.0,491,491,1.0,False,64,1
