video_id,question_id,task,question,choices,answer,correct_choice,pred_answer,pred_choice,qa_acc,realtime,n_frames_seen,n_frames_loaded,sample_fps,truncated,tokens_kept,tokens_seen,token_keep_rate,prune_cache,n_tokens_fed,num_blocks,n_local,kv_cache_bytes,retrieve_size,chunk_size
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_1,Object Perception,What appears at the very beginning of the video?,"['A football match.', 'A logo of FC Barcelona.', 'A silver trophy.', 'A live concert.']",A logo of FC Barcelona.,B,C) A silver trophy.,C,0.0,8.0,9,172,1.0,False,1567,2313,0.6775,adaptive,1799,7,3084,0,8,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_2,Spatial Understanding,What is the position relationship between the woman in a black dress and the woman in a white outfit?,"['They are standing side by side.', 'They are standing back to back.', 'The woman in black is in front of the woman in white.', 'The woman in white is holding the trophy.']",They are standing side by side.,A,A) They are standing side by side.,A,100.0,20.0,21,172,1.0,False,3791,5397,0.7024,adaptive,4112,16,3084,2155872256,8,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_3,Attribute Perception,What color is the goalkeeper's kit when standing in front of the goalposts?,"['Red.', 'Green.', 'Yellow.', 'Blue.']",Yellow.,C,A) Red.,A,0.0,69.0,70,172,1.0,False,12698,17990,0.7058,adaptive,13107,51,3084,6871842816,8,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_4,Object Perception,What advertisement is displayed on the red boards behind the goal?,"['AMBILIGHT TV.', 'NIKE.', 'ESTRELLA DAMM.', 'ADIDAS.']",ESTRELLA DAMM.,C,C) ESTRELLA DAMM.,C,100.0,123.0,124,172,1.0,False,22163,31868,0.6955,adaptive,22616,88,3084,11857297408,8,1
Real-Time_Visual_Understanding__sample_3,Real-Time Visual Understanding_sample_3_5,Action Perception,What are the two people in the video frame doing now?,"['handshaking.', 'Hugging.', 'High-fiving.', 'Fist bumping.']",handshaking.,A,C) High-fiving.,C,0.0,171.0,172,172,1.0,False,31233,44204,0.7066,adaptive,31868,124,3084,16708009984,8,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_2,Causal Reasoning,Why are the players in green and white striving to intercept the ball?,"['They are warming up for the game.', 'They are practicing their defensive moves.', 'They are reacting to an offensive move toward the goal.', 'They are performing a choreographed play.']",They are reacting to an offensive move toward the goal.,C,C) They are reacting to an offensive move toward the goal.,C,100.0,19.0,20,221,1.0,False,3638,5140,0.7078,adaptive,3855,15,3084,2021130240,8,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_1,Object Perception,What emblem appears at the beginning of the video?,"['An animal symbol.', 'A football club shield.', 'A national flag.', 'A corporate logo.']",A football club shield.,B,B) A football club shield.,B,100.0,20.0,21,221,1.0,False,3859,5397,0.715,adaptive,4112,16,3084,2155872256,8,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_3,Text-Rich Understanding,What was the score and the position of the teams right now?,"['1-0, the team in blue and red is leading.', '2-0, the team in white is leading.', '2-0, the team in blue and red is leading.', '1-1, the teams are tied.']","2-0, the team in blue and red is leading.",C,"A) 1-0, the team in blue and red is leading.",A,0.0,64.0,65,221,1.0,False,11548,16705,0.6913,adaptive,11822,46,3084,6198132736,8,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_4,Event Understanding,What is the updated score after the player in number 11 scored a goal?,"['2-0.', '3-0.', '5-0.', '4-0.']",4-0.,D,A) 2-0.,A,0.0,131.0,132,221,1.0,False,23139,33924,0.6821,adaptive,23644,92,3084,12396265472,8,1
Real-Time_Visual_Understanding__sample_4,Real-Time Visual Understanding_sample_4_5,Attribute Perception,"What uniform does the player named ""JOAO CANCELO"" wear?","['Purple and white.', 'Red and blue striped.', 'Blue and yellow.', 'Green and black.']",Red and blue striped.,B,C) Blue and yellow.,C,0.0,220.0,221,221,1.0,False,39840,56797,0.7014,adaptive,40349,157,3084,21154496512,8,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_1,Text-Rich Understanding,What name is written on the goalkeeper's bright green jersey?,"['NEUER.', 'PICKFORD.', 'DE GEA.', 'COURTOIS.']",PICKFORD.,B,B) PICKFORD.,B,100.0,14.0,15,444,1.0,False,2642,3855,0.6853,adaptive,2827,11,3084,0,8,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_2,Object Perception,What brand is visible on the player's white cleats?,"['Nike.', 'Puma.', 'Adidas.', 'Under Armour.']",Adidas.,C,A) Nike.,A,0.0,18.0,19,444,1.0,False,3421,4883,0.7006,adaptive,3855,15,3084,2021130240,8,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_3,Event Understanding,What is the outcome of the penalty kick just now?,"['The goalkeeper saves the ball.', 'The ball hits the post.', 'The ball goes over the crossbar.', 'The ball goes into the net.']",The ball goes over the crossbar.,C,D) The ball goes into the net.,D,0.0,147.0,148,444,1.0,False,22976,38036,0.6041,adaptive,23644,92,3084,12396265472,8,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_4,Action Perception,What did the goalkeeper do during the penalty kick?,"['Stood still.', 'Dived to his left.', 'Dived to his right.', 'Ran towards the ball.']",Dived to his left.,B,B) Dived to his left.,B,100.0,273.0,274,444,1.0,False,42605,70418,0.605,adaptive,43433,169,3084,22771400704,8,1
Real-Time_Visual_Understanding__sample_5,Real-Time Visual Understanding_sample_5_5,Text-Rich Understanding,What number is on the back of the goalkeeper's kit who is preparing to dive for the penalty kick?,"['10.', '7.', '5.', '1.']",1.,D,D) 1.,D,100.0,443.0,444,444,1.0,False,68326,114108,0.5988,adaptive,69390,270,3084,36380344320,8,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_1,Action Perception,What action is the player in the white shirt with number 20 doing?,"['Walking on the field.', 'Preparing for a penalty kick.', 'Waving to the crowd.', 'Kneeling on the ground.']",Kneeling on the ground.,D,D) Kneeling on the ground.,D,100.0,14.0,15,426,1.0,False,2476,3855,0.6423,adaptive,2570,10,3084,0,8,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_2,Object Perception,What brand is advertised on the boards behind the goal?,"['Adidas.', 'Nike.', 'Pepsi.', 'Kia Motors.']",Kia Motors.,D,D) Kia Motors.,D,100.0,145.0,146,426,1.0,False,22236,37522,0.5926,adaptive,22359,87,3084,11722555392,8,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_3,Event Understanding,What is the crowd's reaction during the player's preparation for the penalty kick?,"['Celebrating wildly.', 'Leaving the stadium.', 'Booing the player.', 'Seemingly in prayer or anticipation.']",Seemingly in prayer or anticipation.,D,D) Seemingly in prayer or anticipation.,D,100.0,151.0,152,426,1.0,False,23331,39064,0.5973,adaptive,23644,92,3084,12396265472,8,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_4,Action Perception,What is the player in the black jersey doing just now?,"['Raising both arms.', 'Moving away from the ball.', 'Running toward the crowd.', 'Bending down to adjust the football.']",Bending down to adjust the football.,D,A) Raising both arms.,A,0.0,293.0,294,426,1.0,False,45322,75558,0.5998,adaptive,45746,178,3084,23984078848,8,1
Real-Time_Visual_Understanding__sample_6,Real-Time Visual Understanding_sample_6_5,Text-Rich Understanding,What is written on the back of the goalkeeper's jersey?,"['SMITH 10.', 'JONES 15.', 'SCHEMEICHEL 1.', 'MARTIN 8.']",SCHEMEICHEL 1.,C,C) SCHEMEICHEL 1.,C,100.0,425.0,426,426,1.0,False,66472,109482,0.6072,adaptive,67077,261,3084,35167666176,8,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_1,Event Understanding,What is happening in the penalty area of the football field?,"['A player is preparing to take a penalty kick.', 'A player is scoring a goal.', 'A fight is breaking out.', 'The referee is ending the game.']",A player is preparing to take a penalty kick.,A,A) A player is preparing to take a penalty kick.,A,100.0,16.0,17,397,1.0,False,2218,4369,0.5077,adaptive,2313,9,3084,0,8,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_2,Event Understanding,What happens after the penalty kick is taken?,"['The penalty kick was saved by the goalkeeper.', 'The goalkeeper catches the ball.', 'The ball goes into the bottom left of the net.', 'The ball is deflected by a defender.']",The penalty kick was saved by the goalkeeper.,A,C) The ball goes into the bottom left of the net.,C,0.0,135.0,136,397,1.0,False,20893,34952,0.5978,adaptive,21074,82,3084,11048845312,8,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_4,Event Understanding,What happens after the goalkeeper dives to his right?,"['The ball goes past the goalkeeper.', 'The goalkeeper catches the ball.', 'The player misses the goal.', 'The ball hits the post.']",The ball goes past the goalkeeper.,A,B) The goalkeeper catches the ball.,B,0.0,258.0,259,397,1.0,False,40902,66563,0.6145,adaptive,41120,160,3084,21558722560,8,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_3,Action Perception,What does the player in the white and light blue striped jersey do after running forward?,"['Passes the ball.', 'Stops running.', 'Celebrates.', 'Kicks the ball towards the goal.']",Kicks the ball towards the goal.,D,D) Kicks the ball towards the goal.,D,100.0,260.0,261,397,1.0,False,41298,67077,0.6157,adaptive,41634,162,3084,21828206592,8,1
Real-Time_Visual_Understanding__sample_7,Real-Time Visual Understanding_sample_7_5,Event Understanding,What event is taking place right now?,"['A soccer match celebration.', 'A concert.', 'A protest.', 'A graduation ceremony.']",A soccer match celebration.,A,A) A soccer match celebration.,A,100.0,396.0,397,397,1.0,False,64507,102029,0.6322,adaptive,65021,253,3084,34089730048,8,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_1,Attribute Perception,What is the color and number of the football player's jersey who is preparing for a penalty kick?,"['Red, 10.', 'Blue, 14.', 'Black, 22.', 'White, 26.']","White, 26.",D,"D) White, 26.",D,100.0,5.0,6,257,1.0,False,971,1542,0.6297,adaptive,1028,4,3084,0,8,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_2,Attribute Perception,What name and number are on the goalkeeper's jersey righ now?,"['COSTA, 26.', 'RONALDO, 7.', 'MESSI, 10.', 'DIOGO COSTA, 22.']","DIOGO COSTA, 22.",D,"D) DIOGO COSTA, 22.",D,100.0,14.0,15,257,1.0,False,2388,3855,0.6195,adaptive,2570,10,3084,0,8,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_3,Text-Rich Understanding,What advertisement is visible around the perimeter of the field right now?,"['""Airbnb"".', '""Expedia"".', '""Booking.com"".', '""TripAdvisor"".']","""Booking.com"".",C,"C) ""Booking.com"".",C,100.0,85.0,86,257,1.0,False,14832,22102,0.6711,adaptive,15163,59,3084,7949778944,8,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_4,Attribute Perception,What colors are present on the shirt of the fan holding the scarf?,"['Red with white trimming.', 'Green with red trimming.', 'Yellow with red trimming.', 'Red with green trimming.']",Red with green trimming.,D,A) Red with white trimming.,A,0.0,163.0,164,257,1.0,False,27132,42148,0.6437,adaptive,27499,107,3084,14417395712,8,1
Real-Time_Visual_Understanding__sample_8,Real-Time Visual Understanding_sample_8_5,Event Understanding,What is the outcome of Bernardo's penalty kick?,"['The ball hits the post.', 'The ball goes out of bounds.', 'The goalkeeper saves the ball.', 'The ball hits the back of the net.']",The ball hits the back of the net.,D,D) The ball hits the back of the net.,D,100.0,256.0,257,257,1.0,False,42054,66049,0.6367,adaptive,42662,166,3084,22367174656,8,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_1,Text-Rich Understanding,What card is this person playing now?,"['Nine of Spades.', 'Six of Spades.', 'Nine of Hearts.', 'Seven of Diamonds.']",Nine of Spades.,A,A) Nine of Spades.,A,100.0,11.0,12,76,1.0,False,2118,3084,0.6868,adaptive,2313,9,3084,0,8,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_2,Clips Summarize,What does the video primarily capture?,"['A card game in progress between two individuals.', 'A cooking tutorial.', 'A conversation between two people.', 'A travel vlog.']",A card game in progress between two individuals.,A,A) A card game in progress between two individuals.,A,100.0,19.0,20,76,1.0,False,3324,5140,0.6467,adaptive,3598,14,3084,1886388224,8,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_3,Object Perception,What else is on the table besides the playing cards and a black object?,"['A pair of glasses.', 'A computer.', 'A pile of books.', 'A stack of notebooks.']",A pair of glasses.,A,A) A pair of glasses.,A,100.0,54.0,55,76,1.0,False,9048,14135,0.6401,adaptive,9509,37,3084,4985454592,8,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_4,Attribute Perception,What type of shirt is the opponent wearing?,"['A blue and white patterned shirt.', 'A plain white shir.', 'A yellow patterned shirt.', 'A red checkered shirt.']",A blue and white patterned shirt.,A,A) A blue and white patterned shirt.,A,100.0,71.0,72,76,1.0,False,11770,18504,0.6361,adaptive,12336,48,3084,6467616768,8,1
Real-Time_Visual_Understanding__sample_9,Real-Time Visual Understanding_sample_9_5,Prospective Reasoning,What will the camera holder most likely do next?,"['Place Four of hearts onto the central pile.', 'Place the Ace of Spades onto the discard pile.', 'Put the Seven of Diamonds onto the foundation stack.', 'Move the King of Clubs to the empty tableau column.']",Place Four of hearts onto the central pile.,A,D) Move the King of Clubs to the empty tableau column.,D,0.0,75.0,76,76,1.0,False,12427,19532,0.6362,adaptive,13107,51,3084,6871842816,8,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_1,Attribute Perception,What is the color of the sky right now?,"['Clear with sunshine.', 'Overcast with heavy clouds.', 'Dark and stormy.', 'Clear with scattered clouds.']",Overcast with heavy clouds.,B,D) Clear with scattered clouds.,D,0.0,31.0,32,458,1.0,False,3477,8224,0.4228,adaptive,3598,14,3084,1886388224,8,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_2,Event Understanding,What happens after the person stops mashing and places the bowl to one side?,"['He pick up pineapple from the table.', 'He begin slicing a yellow fruit.', 'He start grilling pineapple and meat.', 'He pour sauce into a small white bowl.']",He pick up pineapple from the table.,A,D) He pour sauce into a small white bowl.,D,0.0,128.0,129,458,1.0,False,15061,33153,0.4543,adaptive,15420,60,3084,8084520960,8,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_3,Spatial Understanding,How are the food items arranged on the grill?,"['The buns are on the right side, and the vegetables and meat are on the left side.', 'The buns are on the top, and the vegetables and meat are on the bottom.', 'The buns are on the left side, and the vegetables and meat are on the right side.', 'The buns are at the center, and the vegetables and meat are on both sides.']","The buns are on the left side, and the vegetables and meat are on the right side.",C,"D) The buns are at the center, and the vegetables and meat",D,0.0,282.0,283,458,1.0,False,38027,72731,0.5228,adaptive,38550,150,3084,20211302400,8,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_4,Attribute Perception,Which item placed on the grill has a yellow color?,"['Meat slices.', 'Bell pepper.', 'Pineapple.', 'Hamburger buns.']",Pineapple.,C,B) Bell pepper.,B,0.0,304.0,305,458,1.0,False,41217,78385,0.5258,adaptive,41891,163,3084,21962948608,8,1
Real-Time_Visual_Understanding__sample_10,Real-Time Visual Understanding_sample_10_5,Attribute Perception,What item is the person holding right now?,"['A white rectangular plate with hamburgers.', 'A white circular plate with a fish.', 'A blue rectangular plate with a salad.', 'A green square plate with a pie.']",A white rectangular plate with hamburgers.,A,A) A white rectangular plate with hamburgers.,A,100.0,457.0,458,458,1.0,False,63557,117706,0.54,adaptive,64250,250,3084,33685504000,8,1
Real-Time_Visual_Understanding__sample_11,Real-Time Visual Understanding_sample_11_1,Object Perception,What is prominently displayed in red letters on the top shelf in the kitchen?,"['EAT.', 'COOK.', 'CHEF.', 'BAKE.']",COOK.,B,B) COOK.,B,100.0,22.0,23,503,1.0,False,2794,5911,0.4727,adaptive,2827,11,3084,0,8,1
Real-Time_Visual_Understanding__sample_11,Real-Time Visual Understanding_sample_11_2,Action Perception,What action does the person take with the cauliflower?,"['He put it back on the counter.', 'He wash it under the sink.', 'He position it on a cutting board and cut it.', 'He place it in a bowl.']",He position it on a cutting board and cut it.,C,C) He positions it on a cutting board and cuts it.,C,100.0,80.0,81,503,1.0,False,10212,20817,0.4906,adaptive,10280,40,3084,5389680640,8,1
Real-Time_Visual_Understanding__sample_11,Real-Time Visual Understanding_sample_11_3,Action Perception,What is the person doing with the cauliflower right now?,"['Cutting it.', 'Seasoning it.', 'Placing it in the frying pan.', 'Washing it.']",Placing it in the frying pan.,C,A) Cutting it.,A,0.0,128.0,129,503,1.0,False,16426,33153,0.4955,adaptive,16705,65,3084,8758231040,8,1
Real-Time_Visual_Understanding__sample_11,Real-Time Visual Understanding_sample_11_4,Event Understanding,What action does the person perform after adding the golden liquid to the bowl?,"['Begins stirring the mixture.', 'Starts cutting vegetables.', 'Places the bowl on the counter.', 'Prepares another ingredient.']",Begins stirring the mixture.,A,A) Begins stirring the mixture.,A,100.0,431.0,432,503,1.0,False,57165,111024,0.5149,adaptive,57568,224,3084,30182211584,8,1
Real-Time_Visual_Understanding__sample_11,Real-Time Visual Understanding_sample_11_5,Object Perception,What is the person holding right now?,"['A knife and a bowl.', 'A spoon and a knife.', 'A spoon and a towel.', 'A frying pan and a spatula.']",A spoon and a towel.,C,A) A knife and a bowl.,A,0.0,502.0,503,503,1.0,False,67005,129271,0.5183,adaptive,67591,263,3084,35437150208,8,1
Real-Time_Visual_Understanding__sample_12,Real-Time Visual Understanding_sample_12_1,Attribute Perception,What color shirt is the man wearing when he holds the white plate with a piece of raw steak?,"['Dark gray.', 'Green.', 'Blue.', 'White.']",Dark gray.,A,A) Dark gray.,A,100.0,57.0,58,665,1.0,False,7723,14906,0.5181,adaptive,7967,31,3084,4177002496,8,1
Real-Time_Visual_Understanding__sample_12,Real-Time Visual Understanding_sample_12_2,Object Perception,What object is the person holding and gesturing towards right now?,"['A frying pan.', 'A bowl of radishes.', 'A jar of chili flakes.', 'A plate with raw meat.']",A plate with raw meat.,D,B) A bowl of radishes.,B,0.0,85.0,86,665,1.0,False,11455,22102,0.5183,adaptive,11822,46,3084,6198132736,8,1
Real-Time_Visual_Understanding__sample_12,Real-Time Visual Understanding_sample_12_3,Object Perception,What is the person holding in their hand?,"['A spatula.', 'A wooden spoon.', 'A fork.', 'Red tongs.']",Red tongs.,D,C) A fork.,C,0.0,185.0,186,665,1.0,False,25262,47802,0.5285,adaptive,25700,100,3084,13474201600,8,1
Real-Time_Visual_Understanding__sample_12,Real-Time Visual Understanding_sample_12_4,Object Perception,What is the man holding in his right hand while preparing food on the cutting board?,"['A jar of salt.', 'Half a lemon.', 'A red vegetable.', 'A small white bowl.']",A small white bowl.,D,D) A small white bowl.,D,100.0,544.0,545,665,1.0,False,73857,140065,0.5273,adaptive,74530,290,3084,39075184640,8,1
Real-Time_Visual_Understanding__sample_12,Real-Time Visual Understanding_sample_12_5,Text-Rich Understanding,What is the title of the cookbook prominently featured?,"['""Gordon Ramsay in 10: Delicious Recipes Made in a Flash"".', '""Jamie Oliver\'s 30-Minute Meals"".', '""Gordon Ramsay\'s Ultimate Cookery Course"".', '""Nigella Express: Good Food Fast"".']","""Gordon Ramsay in 10: Delicious Recipes Made in a Flash"".",A,"A) ""Gordon Ramsay in 10: Delicious Re",A,100.0,664.0,665,665,1.0,False,90668,170905,0.5305,adaptive,91492,356,3084,47968157696,8,1
Real-Time_Visual_Understanding__sample_13,Real-Time Visual Understanding_sample_13_1,Attribute Perception,What shirt color is the individual wearing right now?,"['Dark blue.', 'Grey.', 'White.', 'Dark green.']",Dark green.,D,D) Dark green.,D,100.0,21.0,22,687,1.0,False,2615,5654,0.4625,adaptive,2827,11,3084,0,8,1
Real-Time_Visual_Understanding__sample_13,Real-Time Visual Understanding_sample_13_2,Action Perception,What was the person doing while holding the grater over the bowl?,"['Slicing the orange.', 'Mixing ingredients.', 'Washing the orange.', 'Grating the orange peel.']",Grating the orange peel.,D,D) Grating the orange peel.,D,100.0,426.0,427,687,1.0,False,59994,109739,0.5467,adaptive,60395,235,3084,31664373760,8,1
Real-Time_Visual_Understanding__sample_13,Real-Time Visual Understanding_sample_13_3,Causal Reasoning,Why does the man bend over the counter?,"['To pick up a dropped item.', 'To peel an orange.', 'To check the stove.', 'To clean the counter.']",To peel an orange.,B,B) To peel an orange.,B,100.0,497.0,498,687,1.0,False,70096,127986,0.5477,adaptive,70675,275,3084,37054054400,8,1
Real-Time_Visual_Understanding__sample_13,Real-Time Visual Understanding_sample_13_4,Object Perception,What tool is the person using to grate the orange?,"['Cheese grater.', 'Knife.', 'Peeler.', 'Microplane.']",Microplane.,D,D) Microplane.,D,100.0,575.0,576,687,1.0,False,81290,148032,0.5491,adaptive,81983,319,3084,42982703104,8,1
Real-Time_Visual_Understanding__sample_13,Real-Time Visual Understanding_sample_13_5,Object Perception,What is the man sprinkling onto the dish in the kitchen?,"['Sugar.', 'Flour.', 'Cocoa powder.', 'Sliced nut.']",Sliced nut.,D,B) Flour.,B,0.0,686.0,687,687,1.0,False,99433,176559,0.5632,adaptive,100230,390,3084,52549386240,8,1
Real-Time_Visual_Understanding__sample_14,Real-Time Visual Understanding_sample_14_1,Object Perception,What is displayed prominently in the center at the very beginning of the video?,"['A clock with hands.', 'A knife and fork.', 'A kitchen setting.', 'A large number ""10"".']","A large number ""10"".",D,"D) A large number ""10"".",D,100.0,20.0,21,622,1.0,False,2358,5397,0.4369,adaptive,2570,10,3084,0,8,1
Real-Time_Visual_Understanding__sample_14,Real-Time Visual Understanding_sample_14_2,Object Perception,What item is the man holding while adding seasoning to the bowl?,"['A small jar.', 'A wooden spoon.', 'A bottle of oil.', 'A thin, red, rectangular can.']","A thin, red, rectangular can.",D,A) A small jar.,A,0.0,74.0,75,622,1.0,False,10551,19275,0.5474,adaptive,10794,42,3084,5659164672,8,1
Real-Time_Visual_Understanding__sample_14,Real-Time Visual Understanding_sample_14_3,Event Understanding,What does the person do immediately after transferring the seasoned chicken to the grill pan?,"['Adds oil to the pan.', 'Sprinkles additional seasoning onto the meat.', 'Places the glass bowl in the sink.', 'Turns up the heat on the stove.']",Sprinkles additional seasoning onto the meat.,B,B) Sprinkles additional seasoning onto the meat.,B,100.0,132.0,133,622,1.0,False,18103,34181,0.5296,adaptive,18504,72,3084,9701425152,8,1
Real-Time_Visual_Understanding__sample_14,Real-Time Visual Understanding_sample_14_4,Action Perception,What does the person do with the avocado after cutting it?,"['Adds it whole to the blender.', 'Mashes it with a spoon.', 'Scoops out the flesh and places it into the blending container.', 'Peels off the skin and discards it.']",Scoops out the flesh and places it into the blending container.,C,C) Scoops out the flesh and places it into the blending container,C,100.0,274.0,275,622,1.0,False,39168,70675,0.5542,adaptive,39578,154,3084,20750270464,8,1
Real-Time_Visual_Understanding__sample_14,Real-Time Visual Understanding_sample_14_5,Object Perception,What are some of the components of the salad on the cutting board?,"['Spinach, red cabbage, tomato, feta cheese, and olives.', 'Lettuce, red cabbage, tomato, feta cheese, and croutons.', 'Spinach, red cabbage, avocado, feta cheese, and croutons.', 'Lettuce, red cabbage, avocado, feta cheese, and croutons, chicken.']","Lettuce, red cabbage, avocado, feta cheese, and croutons, chicken.",D,"A) Spinach, red cabbage, tomato, feta che",A,0.0,621.0,622,622,1.0,False,87585,159854,0.5479,adaptive,88151,343,3084,46216511488,8,1
